ID	gene
GO:0034599	11179
GO:0034599	51157
GO:0034599	90441
REACTOME_SIGNALING_BY_RHO_GTPASES	8379
REACTOME_SIGNALING_BY_RHO_GTPASES	23028
REACTOME_SIGNALING_BY_RHO_GTPASES	115703
REACTOME_SIGNALING_BY_RHO_GTPASES	1856
REACTOME_SIGNALING_BY_RHO_GTPASES	9912
REACTOME_SIGNALING_BY_RHO_GTPASES	5048
REACTOME_SIGNALING_BY_RHO_GTPASES	27035
REACTOME_SIGNALING_BY_RHO_GTPASES	23221
REACTOME_SIGNALING_BY_RHO_GTPASES	695
REACTOME_SIGNALING_BY_RHO_GTPASES	7454
REACTOME_SIGNALING_BY_RHO_GTPASES	10928
REACTOME_SIGNALING_BY_RHO_GTPASES	23279
REACTOME_SIGNALING_BY_RHO_GTPASES	51306
REACTOME_SIGNALING_BY_RHO_GTPASES	57514
REACTOME_SIGNALING_BY_RHO_GTPASES	55166
REACTOME_SIGNALING_BY_RHO_GTPASES	55789
REACTOME_SIGNALING_BY_RHO_GTPASES	7204
REACTOME_SIGNALING_BY_RHO_GTPASES	999
REACTOME_SIGNALING_BY_RHO_GTPASES	54908
REACTOME_SIGNALING_BY_RHO_GTPASES	1495
REACTOME_SIGNALING_BY_RHO_GTPASES	116984
REACTOME_SIGNALING_BY_RHO_GTPASES	395
REACTOME_SIGNALING_BY_RHO_GTPASES	57120
REACTOME_SIGNALING_BY_RHO_GTPASES	7984
REACTOME_SIGNALING_BY_RHO_GTPASES	1535
REACTOME_SIGNALING_BY_RHO_GTPASES	26999
REACTOME_SIGNALING_BY_RHO_GTPASES	2665
REACTOME_SIGNALING_BY_RHO_GTPASES	4659
REACTOME_SIGNALING_BY_RHO_GTPASES	10787
REACTOME_SIGNALING_BY_RHO_GTPASES	5586
REACTOME_SIGNALING_BY_RHO_GTPASES	54763
REACTOME_SIGNALING_BY_RHO_GTPASES	4638
REACTOME_SIGNALING_BY_RHO_GTPASES	5525
REACTOME_SIGNALING_BY_RHO_GTPASES	25791
REACTOME_SIGNALING_BY_RHO_GTPASES	4649
REACTOME_SIGNALING_BY_RHO_GTPASES	387
REACTOME_SIGNALING_BY_RHO_GTPASES	5590
REACTOME_SIGNALING_BY_RHO_GTPASES	6093
REACTOME_SIGNALING_BY_RHO_GTPASES	3796
REACTOME_SIGNALING_BY_RHO_GTPASES	5526
REACTOME_SIGNALING_BY_RHO_GTPASES	55746
REACTOME_SIGNALING_BY_RHO_GTPASES	5217
REACTOME_SIGNALING_BY_RHO_GTPASES	998
REACTOME_SIGNALING_BY_RHO_GTPASES	79658
REACTOME_SIGNALING_BY_RHO_GTPASES	9886
REACTOME_SIGNALING_BY_RHO_GTPASES	54820
REACTOME_SIGNALING_BY_RHO_GTPASES	23332
REACTOME_SIGNALING_BY_RHO_GTPASES	50508
REACTOME_SIGNALING_BY_RHO_GTPASES	55160
REACTOME_SIGNALING_BY_RHO_GTPASES	79023
REACTOME_SIGNALING_BY_RHO_GTPASES	60
REACTOME_SIGNALING_BY_RHO_GTPASES	55843
REACTOME_SIGNALING_BY_RHO_GTPASES	113457
REACTOME_SIGNALING_BY_RHO_GTPASES	9138
REACTOME_SIGNALING_BY_RHO_GTPASES	4660
REACTOME_SIGNALING_BY_RHO_GTPASES	5063
REACTOME_SIGNALING_BY_RHO_GTPASES	1781
REACTOME_SIGNALING_BY_RHO_GTPASES	5289
REACTOME_SIGNALING_BY_RHO_GTPASES	5527
REACTOME_SIGNALING_BY_RHO_GTPASES	4983
REACTOME_SIGNALING_BY_RHO_GTPASES	10403
REACTOME_SIGNALING_BY_RHO_GTPASES	7514
REACTOME_SIGNALING_BY_RHO_GTPASES	81929
REACTOME_SIGNALING_BY_RHO_GTPASES	2017
REACTOME_SIGNALING_BY_RHO_GTPASES	9183
REACTOME_SIGNALING_BY_RHO_GTPASES	79822
REACTOME_SIGNALING_BY_RHO_GTPASES	8655
REACTOME_SIGNALING_BY_RHO_GTPASES	51291
REACTOME_SIGNALING_BY_RHO_GTPASES	332
REACTOME_SIGNALING_BY_RHO_GTPASES	393
REACTOME_SIGNALING_BY_RHO_GTPASES	10726
REACTOME_SIGNALING_BY_RHO_GTPASES	64857
REACTOME_SIGNALING_BY_RHO_GTPASES	4637
REACTOME_SIGNALING_BY_RHO_GTPASES	25
REACTOME_SIGNALING_BY_RHO_GTPASES	84144
REACTOME_SIGNALING_BY_RHO_GTPASES	4650
REACTOME_SIGNALING_BY_RHO_GTPASES	5594
REACTOME_SIGNALING_BY_RHO_GTPASES	79019
REACTOME_SIGNALING_BY_RHO_GTPASES	4627
REACTOME_SIGNALING_BY_RHO_GTPASES	4689
REACTOME_SIGNALING_BY_RHO_GTPASES	5905
REACTOME_SIGNALING_BY_RHO_GTPASES	6655
REACTOME_SIGNALING_BY_RHO_GTPASES	23002
REACTOME_SIGNALING_BY_RHO_GTPASES	394
REACTOME_SIGNALING_BY_RHO_GTPASES	81027
REACTOME_SIGNALING_BY_RHO_GTPASES	10398
REACTOME_SIGNALING_BY_RHO_GTPASES	22919
REACTOME_SIGNALING_BY_RHO_GTPASES	4168
REACTOME_SIGNALING_BY_RHO_GTPASES	2245
REACTOME_SIGNALING_BY_RHO_GTPASES	2491
REACTOME_SIGNALING_BY_RHO_GTPASES	8874
REACTOME_SIGNALING_BY_RHO_GTPASES	5595
REACTOME_SIGNALING_BY_RHO_GTPASES	80152
REACTOME_SIGNALING_BY_RHO_GTPASES	171177
REACTOME_SIGNALING_BY_RHO_GTPASES	5516
REACTOME_SIGNALING_BY_RHO_GTPASES	9639
REACTOME_SIGNALING_BY_RHO_GTPASES	10382
REACTOME_SIGNALING_BY_RHO_GTPASES	64130
REACTOME_SIGNALING_BY_RHO_GTPASES	23370
REACTOME_SIGNALING_BY_RHO_GTPASES	147700
REACTOME_SIGNALING_BY_RHO_GTPASES	85360
REACTOME_SIGNALING_BY_RHO_GTPASES	79784
REACTOME_SIGNALING_BY_RHO_GTPASES	5518
REACTOME_SIGNALING_BY_RHO_GTPASES	5296
REACTOME_SIGNALING_BY_RHO_GTPASES	94239
REACTOME_SIGNALING_BY_RHO_GTPASES	1124
REACTOME_SIGNALING_BY_RHO_GTPASES	8976
REACTOME_SIGNALING_BY_RHO_GTPASES	3984
REACTOME_SIGNALING_BY_RHO_GTPASES	23081
REACTOME_SIGNALING_BY_RHO_GTPASES	1855
REACTOME_SIGNALING_BY_RHO_GTPASES	57584
REACTOME_SIGNALING_BY_RHO_GTPASES	5216
REACTOME_SIGNALING_BY_RHO_GTPASES	7531
REACTOME_SIGNALING_BY_RHO_GTPASES	9828
REACTOME_SIGNALING_BY_RHO_GTPASES	4928
REACTOME_SIGNALING_BY_RHO_GTPASES	10094
REACTOME_SIGNALING_BY_RHO_GTPASES	1027
REACTOME_SIGNALING_BY_RHO_GTPASES	397
REACTOME_SIGNALING_BY_RHO_GTPASES	57122
REACTOME_SIGNALING_BY_RHO_GTPASES	1432
REACTOME_SIGNALING_BY_RHO_GTPASES	8936
REACTOME_SIGNALING_BY_RHO_GTPASES	5528
REACTOME_SIGNALING_BY_RHO_GTPASES	6722
REACTOME_SIGNALING_BY_RHO_GTPASES	5924
REACTOME_SIGNALING_BY_RHO_GTPASES	5515
REACTOME_SIGNALING_BY_RHO_GTPASES	1894
REACTOME_SIGNALING_BY_RHO_GTPASES	26084
REACTOME_SIGNALING_BY_RHO_GTPASES	6242
REACTOME_SIGNALING_BY_RHO_GTPASES	10096
REACTOME_SIGNALING_BY_RHO_GTPASES	1058
REACTOME_SIGNALING_BY_RHO_GTPASES	6654
REACTOME_SIGNALING_BY_RHO_GTPASES	7456
REACTOME_SIGNALING_BY_RHO_GTPASES	58480
REACTOME_SIGNALING_BY_RHO_GTPASES	9181
REACTOME_SIGNALING_BY_RHO_GTPASES	4688
REACTOME_SIGNALING_BY_RHO_GTPASES	991
REACTOME_SIGNALING_BY_RHO_GTPASES	25936
REACTOME_SIGNALING_BY_RHO_GTPASES	1063
REACTOME_SIGNALING_BY_RHO_GTPASES	9928
REACTOME_SIGNALING_BY_RHO_GTPASES	103910
REACTOME_SIGNALING_BY_RHO_GTPASES	23433
REACTOME_SIGNALING_BY_RHO_GTPASES	10672
REACTOME_SIGNALING_BY_RHO_GTPASES	348995
REACTOME_SIGNALING_BY_RHO_GTPASES	64411
REACTOME_SIGNALING_BY_RHO_GTPASES	91687
REACTOME_SIGNALING_BY_RHO_GTPASES	81930
REACTOME_SIGNALING_BY_RHO_GTPASES	91614
REACTOME_SIGNALING_BY_RHO_GTPASES	4952
REACTOME_SIGNALING_BY_RHO_GTPASES	644150
REACTOME_SIGNALING_BY_RHO_GTPASES	11130
REACTOME_SIGNALING_BY_RHO_GTPASES	11113
REACTOME_SIGNALING_BY_RHO_GTPASES	5585
REACTOME_SIGNALING_BY_RHO_GTPASES	64105
REACTOME_SIGNALING_BY_RHO_GTPASES	64333
REACTOME_SIGNALING_BY_RHO_GTPASES	3071
REACTOME_SIGNALING_BY_RHO_GTPASES	10376
REACTOME_SIGNALING_BY_RHO_GTPASES	80776
REACTOME_SIGNALING_BY_RHO_GTPASES	57580
REACTOME_SIGNALING_BY_RHO_GTPASES	343578
REACTOME_SIGNALING_BY_RHO_GTPASES	8970
REACTOME_SIGNALING_BY_RHO_GTPASES	79902
REACTOME_SIGNALING_BY_RHO_GTPASES	9322
REACTOME_SIGNALING_BY_RHO_GTPASES	3831
REACTOME_SIGNALING_BY_RHO_GTPASES	23263
REACTOME_SIGNALING_BY_RHO_GTPASES	3895
