pathway	entrezgene	hgnc_symbol
REACTOME_SIGNALING_BY_RHO_GTPASES	10097	ACTR2
REACTOME_SIGNALING_BY_RHO_GTPASES	79172	CENPO
REACTOME_SIGNALING_BY_RHO_GTPASES	10152	ABI2
REACTOME_SIGNALING_BY_RHO_GTPASES	83478	ARHGAP24
REACTOME_SIGNALING_BY_RHO_GTPASES	10144	FAM13A
REACTOME_SIGNALING_BY_RHO_GTPASES	1062	CENPE
REACTOME_SIGNALING_BY_RHO_GTPASES	121512	FGD4
REACTOME_SIGNALING_BY_RHO_GTPASES	54509	RHOF
REACTOME_SIGNALING_BY_RHO_GTPASES	81624	DIAPH3
REACTOME_SIGNALING_BY_RHO_GTPASES	10499	NCOA2
REACTOME_SIGNALING_BY_RHO_GTPASES	8826	IQGAP1
REACTOME_SIGNALING_BY_RHO_GTPASES	55114	ARHGAP17
REACTOME_SIGNALING_BY_RHO_GTPASES	89941	RHOT2
REACTOME_SIGNALING_BY_RHO_GTPASES	5170	PDPK1
REACTOME_SIGNALING_BY_RHO_GTPASES	84643	KIF2B
REACTOME_SIGNALING_BY_RHO_GTPASES	396	ARHGDIA
REACTOME_SIGNALING_BY_RHO_GTPASES	7409	VAV1
REACTOME_SIGNALING_BY_RHO_GTPASES	354	KLK3
REACTOME_SIGNALING_BY_RHO_GTPASES	128272	ARHGEF19
REACTOME_SIGNALING_BY_RHO_GTPASES	23421	ITGB3BP
REACTOME_SIGNALING_BY_RHO_GTPASES	11004	KIF2C
REACTOME_SIGNALING_BY_RHO_GTPASES	83540	NUF2
REACTOME_SIGNALING_BY_RHO_GTPASES	6279	S100A8
REACTOME_SIGNALING_BY_RHO_GTPASES	388	RHOB
REACTOME_SIGNALING_BY_RHO_GTPASES	51143	DYNC1LI1
REACTOME_SIGNALING_BY_RHO_GTPASES	1060	CENPC
REACTOME_SIGNALING_BY_RHO_GTPASES	10788	IQGAP2
REACTOME_SIGNALING_BY_RHO_GTPASES	23092	ARHGAP26
REACTOME_SIGNALING_BY_RHO_GTPASES	255626	HIST1H2BA
REACTOME_SIGNALING_BY_RHO_GTPASES	221472	FGD2
REACTOME_SIGNALING_BY_RHO_GTPASES	93663	ARHGAP18
REACTOME_SIGNALING_BY_RHO_GTPASES	26230	TIAM2
REACTOME_SIGNALING_BY_RHO_GTPASES	1730	DIAPH2
REACTOME_SIGNALING_BY_RHO_GTPASES	158763	ARHGAP36
REACTOME_SIGNALING_BY_RHO_GTPASES	80728	ARHGAP39
REACTOME_SIGNALING_BY_RHO_GTPASES	5058	PAK1
REACTOME_SIGNALING_BY_RHO_GTPASES	3619	INCENP
REACTOME_SIGNALING_BY_RHO_GTPASES	79980	DSN1
REACTOME_SIGNALING_BY_RHO_GTPASES	3688	ITGB1
REACTOME_SIGNALING_BY_RHO_GTPASES	79682	CENPU
REACTOME_SIGNALING_BY_RHO_GTPASES	112714	TUBA3E
REACTOME_SIGNALING_BY_RHO_GTPASES	57405	SPC25
REACTOME_SIGNALING_BY_RHO_GTPASES	64946	CENPH
REACTOME_SIGNALING_BY_RHO_GTPASES	5903	RANBP2
REACTOME_SIGNALING_BY_RHO_GTPASES	25909	AHCTF1
REACTOME_SIGNALING_BY_RHO_GTPASES	5529	PPP2R5E
REACTOME_SIGNALING_BY_RHO_GTPASES	5578	PRKCA
REACTOME_SIGNALING_BY_RHO_GTPASES	84033	OBSCN
REACTOME_SIGNALING_BY_RHO_GTPASES	9184	BUB3
REACTOME_SIGNALING_BY_RHO_GTPASES	220134	SKA1
REACTOME_SIGNALING_BY_RHO_GTPASES	389	RHOC
REACTOME_SIGNALING_BY_RHO_GTPASES	3798	KIF5A
REACTOME_SIGNALING_BY_RHO_GTPASES	7074	TIAM1
REACTOME_SIGNALING_BY_RHO_GTPASES	701	BUB1B
REACTOME_SIGNALING_BY_RHO_GTPASES	6396	SEC13
REACTOME_SIGNALING_BY_RHO_GTPASES	114793	FMNL2
REACTOME_SIGNALING_BY_RHO_GTPASES	4690	NCK1
REACTOME_SIGNALING_BY_RHO_GTPASES	114822	RHPN1
REACTOME_SIGNALING_BY_RHO_GTPASES	10163	WASF2
REACTOME_SIGNALING_BY_RHO_GTPASES	3017	HIST1H2BD
REACTOME_SIGNALING_BY_RHO_GTPASES	995	CDC25C
REACTOME_SIGNALING_BY_RHO_GTPASES	8365	HIST1H4H
REACTOME_SIGNALING_BY_RHO_GTPASES	653361	NCF1
REACTOME_SIGNALING_BY_RHO_GTPASES	1780	DYNC1I1
REACTOME_SIGNALING_BY_RHO_GTPASES	201176	ARHGAP27
REACTOME_SIGNALING_BY_RHO_GTPASES	29	ABR
REACTOME_SIGNALING_BY_RHO_GTPASES	2909	ARHGAP35
REACTOME_SIGNALING_BY_RHO_GTPASES	8997	KALRN
REACTOME_SIGNALING_BY_RHO_GTPASES	7410	VAV2
REACTOME_SIGNALING_BY_RHO_GTPASES	29941	PKN3
REACTOME_SIGNALING_BY_RHO_GTPASES	57551	TAOK1
REACTOME_SIGNALING_BY_RHO_GTPASES	11243	PMF1
REACTOME_SIGNALING_BY_RHO_GTPASES	1857	DVL3
REACTOME_SIGNALING_BY_RHO_GTPASES	91010	FMNL3
REACTOME_SIGNALING_BY_RHO_GTPASES	29127	RACGAP1
REACTOME_SIGNALING_BY_RHO_GTPASES	147841	SPC24
REACTOME_SIGNALING_BY_RHO_GTPASES	10092	ARPC5
REACTOME_SIGNALING_BY_RHO_GTPASES	3020	H3F3A
REACTOME_SIGNALING_BY_RHO_GTPASES	9938	ARHGAP25
REACTOME_SIGNALING_BY_RHO_GTPASES	6280	S100A9
REACTOME_SIGNALING_BY_RHO_GTPASES	10109	ARPC2
REACTOME_SIGNALING_BY_RHO_GTPASES	151246	SGO2
REACTOME_SIGNALING_BY_RHO_GTPASES	23122	CLASP2
REACTOME_SIGNALING_BY_RHO_GTPASES	5580	PRKCD
REACTOME_SIGNALING_BY_RHO_GTPASES	50650	ARHGEF3
REACTOME_SIGNALING_BY_RHO_GTPASES	3015	H2AFZ
REACTOME_SIGNALING_BY_RHO_GTPASES	4085	MAD2L1
REACTOME_SIGNALING_BY_RHO_GTPASES	117289	TAGAP
REACTOME_SIGNALING_BY_RHO_GTPASES	10395	DLC1
REACTOME_SIGNALING_BY_RHO_GTPASES	7534	YWHAZ
REACTOME_SIGNALING_BY_RHO_GTPASES	1536	CYBB
REACTOME_SIGNALING_BY_RHO_GTPASES	94134	ARHGAP12
REACTOME_SIGNALING_BY_RHO_GTPASES	55701	ARHGEF40
REACTOME_SIGNALING_BY_RHO_GTPASES	143872	ARHGAP42
REACTOME_SIGNALING_BY_RHO_GTPASES	55839	CENPN
REACTOME_SIGNALING_BY_RHO_GTPASES	5579	PRKCB
REACTOME_SIGNALING_BY_RHO_GTPASES	81565	NDEL1
REACTOME_SIGNALING_BY_RHO_GTPASES	5347	PLK1
REACTOME_SIGNALING_BY_RHO_GTPASES	7529	YWHAB
REACTOME_SIGNALING_BY_RHO_GTPASES	7846	TUBA1A
REACTOME_SIGNALING_BY_RHO_GTPASES	84790	TUBA1C
REACTOME_SIGNALING_BY_RHO_GTPASES	94274	PPP1R14A
REACTOME_SIGNALING_BY_RHO_GTPASES	3817	KLK2
REACTOME_SIGNALING_BY_RHO_GTPASES	79003	MIS12
REACTOME_SIGNALING_BY_RHO_GTPASES	1499	CTNNB1
REACTOME_SIGNALING_BY_RHO_GTPASES	399	RHOH
REACTOME_SIGNALING_BY_RHO_GTPASES	367	AR
REACTOME_SIGNALING_BY_RHO_GTPASES	5747	PTK2
REACTOME_SIGNALING_BY_RHO_GTPASES	699	BUB1
REACTOME_SIGNALING_BY_RHO_GTPASES	5881	RAC3
REACTOME_SIGNALING_BY_RHO_GTPASES	7532	YWHAG
REACTOME_SIGNALING_BY_RHO_GTPASES	3799	KIF5B
REACTOME_SIGNALING_BY_RHO_GTPASES	11214	AKAP13
REACTOME_SIGNALING_BY_RHO_GTPASES	147179	WIPF2
REACTOME_SIGNALING_BY_RHO_GTPASES	57449	PLEKHG5
REACTOME_SIGNALING_BY_RHO_GTPASES	1072	CFL1
REACTOME_SIGNALING_BY_RHO_GTPASES	29984	RHOD
REACTOME_SIGNALING_BY_RHO_GTPASES	286205	SCAI
REACTOME_SIGNALING_BY_RHO_GTPASES	10276	NET1
REACTOME_SIGNALING_BY_RHO_GTPASES	55055	ZWILCH
REACTOME_SIGNALING_BY_RHO_GTPASES	64837	KLC2
REACTOME_SIGNALING_BY_RHO_GTPASES	9793	CKAP5
REACTOME_SIGNALING_BY_RHO_GTPASES	392	ARHGAP1
REACTOME_SIGNALING_BY_RHO_GTPASES	378708	CENPS
REACTOME_SIGNALING_BY_RHO_GTPASES	2810	SFN
REACTOME_SIGNALING_BY_RHO_GTPASES	10458	BAIAP2
REACTOME_SIGNALING_BY_RHO_GTPASES	2	A2M
REACTOME_SIGNALING_BY_RHO_GTPASES	84617	TUBB6
REACTOME_SIGNALING_BY_RHO_GTPASES	391	RHOG
REACTOME_SIGNALING_BY_RHO_GTPASES	2885	GRB2
REACTOME_SIGNALING_BY_RHO_GTPASES	6232	RPS27
REACTOME_SIGNALING_BY_RHO_GTPASES	79861	TUBAL3
REACTOME_SIGNALING_BY_RHO_GTPASES	9212	AURKB
REACTOME_SIGNALING_BY_RHO_GTPASES	55920	RCC2
REACTOME_SIGNALING_BY_RHO_GTPASES	5062	PAK2
REACTOME_SIGNALING_BY_RHO_GTPASES	23526	ARHGAP45
REACTOME_SIGNALING_BY_RHO_GTPASES	8334	HIST1H2AC
REACTOME_SIGNALING_BY_RHO_GTPASES	8347	HIST1H2BC
REACTOME_SIGNALING_BY_RHO_GTPASES	3985	LIMK2
REACTOME_SIGNALING_BY_RHO_GTPASES	348235	SKA2
REACTOME_SIGNALING_BY_RHO_GTPASES	389337	ARHGEF37
REACTOME_SIGNALING_BY_RHO_GTPASES	653604	HIST2H3D
REACTOME_SIGNALING_BY_RHO_GTPASES	51807	TUBA8
REACTOME_SIGNALING_BY_RHO_GTPASES	128239	IQGAP3
REACTOME_SIGNALING_BY_RHO_GTPASES	71	ACTG1
REACTOME_SIGNALING_BY_RHO_GTPASES	8338	HIST2H2AC
REACTOME_SIGNALING_BY_RHO_GTPASES	9735	KNTC1
REACTOME_SIGNALING_BY_RHO_GTPASES	8349	HIST2H2BE
REACTOME_SIGNALING_BY_RHO_GTPASES	752	FMNL1
REACTOME_SIGNALING_BY_RHO_GTPASES	8340	HIST1H2BL
REACTOME_SIGNALING_BY_RHO_GTPASES	5600	MAPK11
REACTOME_SIGNALING_BY_RHO_GTPASES	5501	PPP1CC
REACTOME_SIGNALING_BY_RHO_GTPASES	257106	ARHGAP30
REACTOME_SIGNALING_BY_RHO_GTPASES	4771	NF2
REACTOME_SIGNALING_BY_RHO_GTPASES	116985	ARAP1
REACTOME_SIGNALING_BY_RHO_GTPASES	613	BCR
REACTOME_SIGNALING_BY_RHO_GTPASES	54821	ERCC6L
REACTOME_SIGNALING_BY_RHO_GTPASES	10383	TUBB4B
REACTOME_SIGNALING_BY_RHO_GTPASES	401541	CENPP
REACTOME_SIGNALING_BY_RHO_GTPASES	3014	H2AFX
REACTOME_SIGNALING_BY_RHO_GTPASES	10811	NOXA1
REACTOME_SIGNALING_BY_RHO_GTPASES	9901	SRGAP3
REACTOME_SIGNALING_BY_RHO_GTPASES	51466	EVL
REACTOME_SIGNALING_BY_RHO_GTPASES	124056	NOXO1
REACTOME_SIGNALING_BY_RHO_GTPASES	30849	PIK3R4
REACTOME_SIGNALING_BY_RHO_GTPASES	57591	MRTFA
REACTOME_SIGNALING_BY_RHO_GTPASES	3013	HIST1H2AD
REACTOME_SIGNALING_BY_RHO_GTPASES	128312	HIST3H2BB
REACTOME_SIGNALING_BY_RHO_GTPASES	23365	ARHGEF12
REACTOME_SIGNALING_BY_RHO_GTPASES	2316	FLNA
REACTOME_SIGNALING_BY_RHO_GTPASES	57522	SRGAP1
REACTOME_SIGNALING_BY_RHO_GTPASES	8364	HIST1H4C
REACTOME_SIGNALING_BY_RHO_GTPASES	1778	DYNC1H1
REACTOME_SIGNALING_BY_RHO_GTPASES	6714	SRC
REACTOME_SIGNALING_BY_RHO_GTPASES	8356	HIST1H3J
REACTOME_SIGNALING_BY_RHO_GTPASES	8363	HIST1H4J
REACTOME_SIGNALING_BY_RHO_GTPASES	8351	HIST1H3D
REACTOME_SIGNALING_BY_RHO_GTPASES	121504	HIST4H4
REACTOME_SIGNALING_BY_RHO_GTPASES	85236	HIST1H2BK
REACTOME_SIGNALING_BY_RHO_GTPASES	7278	TUBA3C
REACTOME_SIGNALING_BY_RHO_GTPASES	801	CALM1
REACTOME_SIGNALING_BY_RHO_GTPASES	9824	ARHGAP11A
REACTOME_SIGNALING_BY_RHO_GTPASES	22899	ARHGEF15
REACTOME_SIGNALING_BY_RHO_GTPASES	9055	PRC1
REACTOME_SIGNALING_BY_RHO_GTPASES	126961	HIST2H3C
REACTOME_SIGNALING_BY_RHO_GTPASES	8337	HIST2H2AA3
REACTOME_SIGNALING_BY_RHO_GTPASES	333932	HIST2H3A
REACTOME_SIGNALING_BY_RHO_GTPASES	2664	GDI1
