source	target
KEGG_OXIDATIVE_PHOSPHORYLATION	MT-ND4
KEGG_OXIDATIVE_PHOSPHORYLATION	MT-ND4L
KEGG_OXIDATIVE_PHOSPHORYLATION	MT-ND2
KEGG_OXIDATIVE_PHOSPHORYLATION	COX6B2
KEGG_OXIDATIVE_PHOSPHORYLATION	PPA1
KEGG_OXIDATIVE_PHOSPHORYLATION	MT-ND3
KEGG_OXIDATIVE_PHOSPHORYLATION	COX4I2
KEGG_OXIDATIVE_PHOSPHORYLATION	MT-ND1
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP5MG
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP6V0E1
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFA11
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFB10
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFS8
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFC1
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFC2
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFS1
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFV2
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFB6
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFS4
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFB7
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFV1
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFB8
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFS6
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFB9
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFS5
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFS2
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFB4
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFS3
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFB5
KEGG_OXIDATIVE_PHOSPHORYLATION	CYC1
KEGG_OXIDATIVE_PHOSPHORYLATION	COX11
KEGG_OXIDATIVE_PHOSPHORYLATION	COX15
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	ALAS1
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	ALAS2
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	GLYCTK
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	MAOB
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	AGXT2
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	MAOA
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	AOC2
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	GATM
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	SDS
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	AOC3
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	GNMT
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	SHMT1
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	GCAT
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	PHGDH
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	DMGDH
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	SHMT2
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	SRR
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	PSAT1
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	BHMT
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	GLDC
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	DLD
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	GAMT
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	PSPH
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	AGXT
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	SARDH
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	AMT
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	CHDH
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	CBS
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	CTH
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	PIPOX
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	DAO
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	AOX1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	ALDH1B1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	ACADS
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	ACADSB
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	ABAT
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	ALDH2
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	ACADM
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	ACAT2
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	HSD17B10
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	ACAT1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	OXCT1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	ACAA2
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	IL4I1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	HADH
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	MCEE
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	HADHB
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	DBT
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	HADHA
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	ALDH6A1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	HMGCL
