nodes	type
RAC1/PAK1/p38/MMP2 Pathway%WikiPathways_20190910%WP3303%Homo sapiens	Pathway
Metabolism of Spingolipids in ER and Golgi apparatus%WikiPathways_20190910%WP4142%Homo sapiens	Pathway
Urea cycle and metabolism of amino groups%WikiPathways_20190910%WP497%Homo sapiens	Pathway
Sphingolipid pathway%WikiPathways_20190910%WP1422%Homo sapiens	Pathway
ncRNAs involved in Wnt signaling in hepatocellular carcinoma%WikiPathways_20190910%WP4336%Homo sapiens	Pathway
Toll-like Receptor Signaling%WikiPathways_20190910%WP3858%Homo sapiens	Pathway
Novel intracellular components of RIG-I-like receptor (RLR) pathway%WikiPathways_20190910%WP3865%Homo sapiens	Pathway
MAPK Signaling Pathway%WikiPathways_20190910%WP382%Homo sapiens	Pathway
Wnt Signaling%WikiPathways_20190910%WP428%Homo sapiens	Pathway
LncRNA involvement in canonical Wnt signaling and colorectal cancer%WikiPathways_20190910%WP4258%Homo sapiens	Pathway
Breast cancer pathway%WikiPathways_20190910%WP4262%Homo sapiens	Pathway
Mitochondrial complex I assembly model OXPHOS system%WikiPathways_20190910%WP4324%Homo sapiens	Pathway
Nonalcoholic fatty liver disease%WikiPathways_20190910%WP4396%Homo sapiens	Pathway
Biomarkers for urea cycle disorders%WikiPathways_20190910%WP4583%Homo sapiens	Pathway
29796	Gene
4698	Gene
4697	Gene
27068	Gene
9551	Gene
374291	Gene
4519	Gene
535	Gene
534	Gene
533	Gene
539	Gene
4513	Gene
4512	Gene
537	Gene
341947	Gene
4514	Gene
1329	Gene
1327	Gene
50617	Gene
479	Gene
4508	Gene
4509	Gene
10476	Gene
4695	Gene
4696	Gene
4694	Gene
27089	Gene
51606	Gene
513	Gene
64077	Gene
245972	Gene
9167	Gene
518	Gene
245973	Gene
517	Gene
516	Gene
515	Gene
514	Gene
9377	Gene
10312	Gene
440567	Gene
496	Gene
51382	Gene
495	Gene
498	Gene
522	Gene
521	Gene
6389	Gene
523	Gene
529	Gene
56901	Gene
526	Gene
525	Gene
528	Gene
527	Gene
1352	Gene
1351	Gene
1350	Gene
6392	Gene
6390	Gene
6391	Gene
127124	Gene
1349	Gene
1346	Gene
1347	Gene
1345	Gene
10063	Gene
506	Gene
1340	Gene
509	Gene
9296	Gene
170712	Gene
23545	Gene
7381	Gene
9114	Gene
1339	Gene
1337	Gene
7388	Gene
7386	Gene
7385	Gene
7384	Gene
4709	Gene
4707	Gene
4708	Gene
4705	Gene
4706	Gene
155066	Gene
4541	Gene
4704	Gene
4540	Gene
4701	Gene
4702	Gene
