nodes	type
KEGG CHRONIC MYELOID LEUKEMIA	Pathway
KEGG ACUTE MYELOID LEUKEMIA	Pathway
KEGG SMALL CELL LUNG CANCER	Pathway
KEGG NON SMALL CELL LUNG CANCER	Pathway
KEGG ASTHMA	Pathway
KEGG AUTOIMMUNE THYROID DISEASE	Pathway
KEGG ALLOGRAFT REJECTION	Pathway
KEGG GRAFT VERSUS HOST DISEASE	Pathway
KEGG PRIMARY IMMUNODEFICIENCY	Pathway
REACTOME APOPTOTIC CLEAVAGE OF CELLULAR PROTEINS	Pathway
REACTOME ACTIVATION OF THE PRE REPLICATIVE COMPLEX	Pathway
REACTOME BASE EXCISION REPAIR	Pathway
REACTOME SIGNALING BY RHO GTPASES	Pathway
REACTOME SIGNALING BY WNT	Pathway
REACTOME SIGNALING BY SCF KIT	Pathway
REACTOME SIGNALING BY NODAL	Pathway
REACTOME SPRY REGULATION OF FGF SIGNALING	Pathway
REACTOME ANTIGEN PROCESSING CROSS PRESENTATION	Pathway
REACTOME GROWTH HORMONE RECEPTOR SIGNALING	Pathway
REACTOME TETRAHYDROBIOPTERIN BH4 SYNTHESIS RECYCLING SALVAGE AND REGULATION	Pathway
REACTOME MEIOSIS	Pathway
REACTOME G0 AND EARLY G1	Pathway
REACTOME REGULATION OF KIT SIGNALING	Pathway
REACTOME IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON LYMPHOID CELL	Pathway
REACTOME METABOLISM OF VITAMINS AND COFACTORS	Pathway
REACTOME RESOLUTION OF AP SITES VIA THE MULTIPLE NUCLEOTIDE PATCH REPLACEMENT PATHWAY	Pathway
REACTOME SIGNALING BY ERBB4	Pathway
REACTOME ORC1 REMOVAL FROM CHROMATIN	Pathway
REACTOME SIGNALING BY ERBB2	Pathway
REACTOME SIGNALING BY EGFR IN CANCER	Pathway
REACTOME NUCLEAR SIGNALING BY ERBB4	Pathway
REACTOME SIGNALING BY HIPPO	Pathway
REACTOME ACTIVATED NOTCH1 TRANSMITS SIGNAL TO THE NUCLEUS	Pathway
REACTOME SIGNALING BY NOTCH4	Pathway
REACTOME DOWNSTREAM SIGNALING EVENTS OF B CELL RECEPTOR BCR	Pathway
REACTOME ACTIVATION OF NF KAPPAB IN B CELLS	Pathway
REACTOME SIGNALING BY NOTCH2	Pathway
REACTOME SIGNALING BY THE B CELL RECEPTOR BCR	Pathway
REACTOME EXTRACELLULAR MATRIX ORGANIZATION	Pathway
REACTOME NOTCH1 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION	Pathway
REACTOME SIGNALING BY NOTCH1	Pathway
REACTOME SIGNALING BY NOTCH3	Pathway
REACTOME INSULIN RECEPTOR SIGNALLING CASCADE	Pathway
REACTOME PROLONGED ERK ACTIVATION EVENTS	Pathway
REACTOME SIGNALLING TO RAS	Pathway
REACTOME CELL SURFACE INTERACTIONS AT THE VASCULAR WALL	Pathway
REACTOME SIGNALLING TO ERKS	Pathway
REACTOME TGF BETA RECEPTOR SIGNALING IN EMT EPITHELIAL TO MESENCHYMAL TRANSITION	Pathway
REACTOME DOWNREGULATION OF TGF BETA RECEPTOR SIGNALING	Pathway
REACTOME SIGNALING BY FGFR IN DISEASE	Pathway
REACTOME TGF BETA RECEPTOR SIGNALING ACTIVATES SMADS	Pathway
REACTOME GASTRIN CREB SIGNALLING PATHWAY VIA PKC AND MAPK	Pathway
REACTOME APOPTOSIS INDUCED DNA FRAGMENTATION	Pathway
REACTOME MICRORNA MIRNA BIOGENESIS	Pathway
REACTOME NUCLEAR EVENTS KINASE AND TRANSCRIPTION FACTOR ACTIVATION	Pathway
REACTOME ERKS ARE INACTIVATED	Pathway
REACTOME NEGATIVE REGULATION OF THE PI3K AKT NETWORK	Pathway
REACTOME EGFR DOWNREGULATION	Pathway
REACTOME PROCESSING OF CAPPED INTRON CONTAINING PRE MRNA	Pathway
REACTOME PECAM1 INTERACTIONS	Pathway
REACTOME TCR SIGNALING	Pathway
REACTOME DOWNSTREAM TCR SIGNALING	Pathway
REACTOME AKT PHOSPHORYLATES TARGETS IN THE CYTOSOL	Pathway
REACTOME TIE2 SIGNALING	Pathway
REACTOME P75NTR RECRUITS SIGNALLING COMPLEXES	Pathway
REACTOME REGULATED PROTEOLYSIS OF P75NTR	Pathway
REACTOME CASPASE MEDIATED CLEAVAGE OF CYTOSKELETAL PROTEINS	Pathway
REACTOME INTEGRIN CELL SURFACE INTERACTIONS	Pathway
REACTOME NRAGE SIGNALS DEATH THROUGH JNK	Pathway
REACTOME NRIF SIGNALS CELL DEATH FROM THE NUCLEUS	Pathway
REACTOME REGULATION OF BETA CELL DEVELOPMENT	Pathway
REACTOME CELL DEATH SIGNALLING VIA NRAGE NRIF AND NADE	Pathway
REACTOME P75 NTR RECEPTOR MEDIATED SIGNALLING	Pathway
REACTOME PROCESSIVE SYNTHESIS ON THE LAGGING STRAND	Pathway
REACTOME MRNA CAPPING	Pathway
REACTOME PEPTIDE LIGAND BINDING RECEPTORS	Pathway
REACTOME OPIOID SIGNALLING	Pathway
REACTOME CHEMOKINE RECEPTORS BIND CHEMOKINES	Pathway
REACTOME CELL CYCLE CHECKPOINTS	Pathway
REACTOME NUCLEAR RECEPTOR TRANSCRIPTION PATHWAY	Pathway
REACTOME G1 PHASE	Pathway
REACTOME SIGNALING BY PDGF	Pathway
REACTOME GPVI MEDIATED ACTIVATION CASCADE	Pathway
REACTOME DOWNSTREAM SIGNAL TRANSDUCTION	Pathway
REACTOME MRNA SPLICING	Pathway
REACTOME MRNA SPLICING MINOR PATHWAY	Pathway
REACTOME NUCLEOTIDE EXCISION REPAIR	Pathway
REACTOME G ALPHA Q SIGNALLING EVENTS	Pathway
REACTOME NUCLEOTIDE LIKE PURINERGIC RECEPTORS	Pathway
REACTOME EICOSANOID LIGAND BINDING RECEPTORS	Pathway
REACTOME CLASS B 2 SECRETIN FAMILY RECEPTORS	Pathway
REACTOME FANCONI ANEMIA PATHWAY	Pathway
REACTOME CD28 CO STIMULATION	Pathway
REACTOME SYNTHESIS SECRETION AND DEACYLATION OF GHRELIN	Pathway
REACTOME OTHER SEMAPHORIN INTERACTIONS	Pathway
REACTOME G ALPHA I SIGNALLING EVENTS	Pathway
REACTOME SEMA3A PAK DEPENDENT AXON REPULSION	Pathway
REACTOME CD28 DEPENDENT VAV1 PATHWAY	Pathway
REACTOME SEMAPHORIN INTERACTIONS	Pathway
REACTOME COSTIMULATION BY THE CD28 FAMILY	Pathway
REACTOME CD28 DEPENDENT PI3K AKT SIGNALING	Pathway
REACTOME CTLA4 INHIBITORY SIGNALING	Pathway
REACTOME FORMATION OF FIBRIN CLOT CLOTTING CASCADE	Pathway
REACTOME DEADENYLATION OF MRNA	Pathway
REACTOME DEADENYLATION DEPENDENT MRNA DECAY	Pathway
REACTOME MITOTIC G1 G1 S PHASES	Pathway
REACTOME REGULATION OF MITOTIC CELL CYCLE	Pathway
REACTOME TAK1 ACTIVATES NFKB BY PHOSPHORYLATION AND ACTIVATION OF IKKS COMPLEX	Pathway
REACTOME MYOGENESIS	Pathway
REACTOME MAPK TARGETS NUCLEAR EVENTS MEDIATED BY MAP KINASES	Pathway
REACTOME GPCR LIGAND BINDING	Pathway
REACTOME JNK C JUN KINASES PHOSPHORYLATION AND ACTIVATION MEDIATED BY ACTIVATED HUMAN TAK1	Pathway
REACTOME MITOTIC G2 G2 M PHASES	Pathway
REACTOME ACTIVATED TAK1 MEDIATES P38 MAPK ACTIVATION	Pathway
REACTOME DNA REPAIR	Pathway
REACTOME CHROMOSOME MAINTENANCE	Pathway
REACTOME SIGNAL TRANSDUCTION BY L1	Pathway
REACTOME DCC MEDIATED ATTRACTIVE SIGNALING	Pathway
REACTOME ASSEMBLY OF THE PRE REPLICATIVE COMPLEX	Pathway
REACTOME REGULATION OF SIGNALING BY CBL	Pathway
REACTOME PLATELET SENSITIZATION BY LDL	Pathway
REACTOME IRAK1 RECRUITS IKK COMPLEX	Pathway
REACTOME TRAF6 MEDIATED IRF7 ACTIVATION	Pathway
REACTOME CIRCADIAN CLOCK	Pathway
REACTOME REGULATION OF IFNG SIGNALING	Pathway
REACTOME REGULATION OF MRNA STABILITY BY PROTEINS THAT BIND AU RICH ELEMENTS	Pathway
REACTOME TRAF3 DEPENDENT IRF ACTIVATION PATHWAY	Pathway
REACTOME INTERFERON GAMMA SIGNALING	Pathway
REACTOME TRAF6 MEDIATED IRF7 ACTIVATION IN TLR7 8 OR 9 SIGNALING	Pathway
REACTOME ACTIVATION OF IRF3 IRF7 MEDIATED BY TBK1 IKK EPSILON	Pathway
REACTOME INTERFERON ALPHA BETA SIGNALING	Pathway
REACTOME ADVANCED GLYCOSYLATION ENDPRODUCT RECEPTOR SIGNALING	Pathway
REACTOME INTERFERON SIGNALING	Pathway
REACTOME IKK COMPLEX RECRUITMENT MEDIATED BY RIP1	Pathway
REACTOME FORMATION OF INCISION COMPLEX IN GG NER	Pathway
REACTOME TRANSCRIPTIONAL REGULATION OF WHITE ADIPOCYTE DIFFERENTIATION	Pathway
REACTOME MEIOTIC RECOMBINATION	Pathway
REACTOME PLATELET AGGREGATION PLUG FORMATION	Pathway
REACTOME SIGNALING BY NOTCH	Pathway
REACTOME LAGGING STRAND SYNTHESIS	Pathway
REACTOME INHIBITION OF REPLICATION INITIATION OF DAMAGED DNA BY RB1 E2F1	Pathway
REACTOME DNA REPLICATION	Pathway
REACTOME E2F MEDIATED REGULATION OF DNA REPLICATION	Pathway
REACTOME SIGNALING BY INSULIN RECEPTOR	Pathway
REACTOME SIGNAL ATTENUATION	Pathway
REACTOME HIV INFECTION	Pathway
REACTOME HIV LIFE CYCLE	Pathway
REACTOME EARLY PHASE OF HIV LIFE CYCLE	Pathway
REACTOME VIRAL MESSENGER RNA SYNTHESIS	Pathway
REACTOME ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS	Pathway
REACTOME UNWINDING OF DNA	Pathway
REACTOME G1 S SPECIFIC TRANSCRIPTION	Pathway
REACTOME SIGNALING BY TGF BETA RECEPTOR COMPLEX	Pathway
REACTOME COMPLEMENT CASCADE	Pathway
REACTOME MTORC1 MEDIATED SIGNALLING	Pathway
REACTOME ACTIVATION OF BH3 ONLY PROTEINS	Pathway
REACTOME NOD1 2 SIGNALING PATHWAY	Pathway
REACTOME THE NLRP3 INFLAMMASOME	Pathway
REACTOME CLASS I MHC MEDIATED ANTIGEN PROCESSING PRESENTATION	Pathway
REACTOME INFLAMMASOMES	Pathway
REACTOME NUCLEOTIDE BINDING DOMAIN LEUCINE RICH REPEAT CONTAINING RECEPTOR NLR SIGNALING PATHWAYS	Pathway
REACTOME TELOMERE MAINTENANCE	Pathway
REACTOME PLATELET ACTIVATION SIGNALING AND AGGREGATION	Pathway
REACTOME EXTENSION OF TELOMERES	Pathway
REACTOME G2 M CHECKPOINTS	Pathway
REACTOME G2 M DNA DAMAGE CHECKPOINT	Pathway
REACTOME S PHASE	Pathway
REACTOME DNA STRAND ELONGATION	Pathway
REACTOME VIF MEDIATED DEGRADATION OF APOBEC3G	Pathway
REACTOME SIGNALING BY FGFR	Pathway
REACTOME INTRINSIC PATHWAY FOR APOPTOSIS	Pathway
REACTOME APOPTOTIC EXECUTION PHASE	Pathway
REACTOME INTERLEUKIN 6 SIGNALING	Pathway
REACTOME MAPK3 ERK1 ACTIVATION	Pathway
REACTOME TRANSLESION SYNTHESIS BY Y FAMILY DNA POLYMERASES BYPASSES LESIONS ON DNA TEMPLATE	Pathway
REACTOME RECOGNITION OF DNA DAMAGE BY PCNA CONTAINING REPLICATION COMPLEX	Pathway
REACTOME TRANSLESION SYNTHESIS BY POLH	Pathway
REACTOME ACTIVATION OF BAD AND TRANSLOCATION TO MITOCHONDRIA	Pathway
REACTOME CYTOCHROME C MEDIATED APOPTOTIC RESPONSE	Pathway
REACTOME APOPTOTIC FACTOR MEDIATED RESPONSE	Pathway
REACTOME IRS MEDIATED SIGNALLING	Pathway
REACTOME RAF INDEPENDENT MAPK1 3 ACTIVATION	Pathway
REACTOME FORMATION OF THE EARLY ELONGATION COMPLEX	Pathway
REACTOME ROS AND RNS PRODUCTION IN PHAGOCYTES	Pathway
REACTOME REGULATION OF GENE EXPRESSION BY HYPOXIA INDUCIBLE FACTOR	Pathway
REACTOME CELLULAR RESPONSE TO HYPOXIA	Pathway
REACTOME SHC1 EVENTS IN ERBB2 SIGNALING	Pathway
REACTOME INTERLEUKIN 7 SIGNALING	Pathway
REACTOME DOWNREGULATION OF ERBB2 ERBB3 SIGNALING	Pathway
REACTOME TRANSCRIPTION OF E2F TARGETS UNDER NEGATIVE CONTROL BY DREAM COMPLEX	Pathway
REACTOME TRANSCRIPTION OF E2F TARGETS UNDER NEGATIVE CONTROL BY P107 RBL1 AND P130 RBL2 IN COMPLEX WITH HDAC1	Pathway
REACTOME CASPASE ACTIVATION VIA DEATH RECEPTORS IN THE PRESENCE OF LIGAND	Pathway
REACTOME INTRINSIC PATHWAY OF FIBRIN CLOT FORMATION	Pathway
REACTOME COMMON PATHWAY OF FIBRIN CLOT FORMATION	Pathway
REACTOME REGULATION OF SIGNALING BY NODAL	Pathway
REACTOME REPRODUCTION	Pathway
REACTOME POLO LIKE KINASE MEDIATED EVENTS	Pathway
REACTOME ACTIVATION OF MATRIX METALLOPROTEINASES	Pathway
REACTOME ZBP1 DAI MEDIATED INDUCTION OF TYPE I IFNS	Pathway
REACTOME GOLGI CISTERNAE PERICENTRIOLAR STACK REORGANIZATION	Pathway
REACTOME MACROAUTOPHAGY	Pathway
REACTOME MTOR SIGNALLING	Pathway
REACTOME TOLL LIKE RECEPTOR 4 TLR4 CASCADE	Pathway
REACTOME SIGNALING BY NTRKS	Pathway
REACTOME FORMATION OF HIV ELONGATION COMPLEX IN THE ABSENCE OF HIV TAT	Pathway
REACTOME TRANSCRIPTION OF THE HIV GENOME	Pathway
REACTOME ABORTIVE ELONGATION OF HIV 1 TRANSCRIPT IN THE ABSENCE OF TAT	Pathway
REACTOME HIV ELONGATION ARREST AND RECOVERY	Pathway
REACTOME TOLL LIKE RECEPTOR 9 TLR9 CASCADE	Pathway
REACTOME TOLL LIKE RECEPTOR TLR1 TLR2 CASCADE	Pathway
REACTOME INFLUENZA INFECTION	Pathway
REACTOME TOLL LIKE RECEPTOR CASCADES	Pathway
REACTOME TICAM1 RIP1 MEDIATED IKK COMPLEX RECRUITMENT	Pathway
REACTOME DDX58 IFIH1 MEDIATED INDUCTION OF INTERFERON ALPHA BETA	Pathway
REACTOME FRS2 MEDIATED ACTIVATION	Pathway
REACTOME APC C CDC20 MEDIATED DEGRADATION OF CYCLIN B	Pathway
REACTOME APC C CDH1 MEDIATED DEGRADATION OF CDC20 AND OTHER APC C CDH1 TARGETED PROTEINS IN LATE MITOSIS EARLY G1	Pathway
REACTOME PROCESSIVE SYNTHESIS ON THE C STRAND OF THE TELOMERE	Pathway
REACTOME TELOMERE C STRAND LAGGING STRAND SYNTHESIS	Pathway
REACTOME ACTIVATION OF APC C AND APC C CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS	Pathway
REACTOME SIGNALING BY EGFR	Pathway
REACTOME RIP MEDIATED NFKB ACTIVATION VIA ZBP1	Pathway
REACTOME STING MEDIATED INDUCTION OF HOST IMMUNE RESPONSES	Pathway
REACTOME CYTOSOLIC SENSORS OF PATHOGEN ASSOCIATED DNA	Pathway
REACTOME FGFR1 MUTANT RECEPTOR ACTIVATION	Pathway
REACTOME FGFR2 MUTANT RECEPTOR ACTIVATION	Pathway
REACTOME SIGNALING BY NTRK1 TRKA	Pathway
REACTOME SCF SKP2 MEDIATED DEGRADATION OF P27 P21	Pathway
REACTOME P75NTR SIGNALS VIA NF KB	Pathway
REACTOME P75NTR REGULATES AXONOGENESIS	Pathway
REACTOME SIGNALING BY VEGF	Pathway
REACTOME RHO GTPASE CYCLE	Pathway
REACTOME DEGRADATION OF BETA CATENIN BY THE DESTRUCTION COMPLEX	Pathway
REACTOME RHO GTPASE EFFECTORS	Pathway
REACTOME BETA CATENIN PHOSPHORYLATION CASCADE	Pathway
REACTOME AKT PHOSPHORYLATES TARGETS IN THE NUCLEUS	Pathway
REACTOME TCF DEPENDENT SIGNALING IN RESPONSE TO WNT	Pathway
REACTOME FCGAMMA RECEPTOR FCGR DEPENDENT PHAGOCYTOSIS	Pathway
REACTOME NF KB IS ACTIVATED AND SIGNALS SURVIVAL	Pathway
REACTOME EPIGENETIC REGULATION OF GENE EXPRESSION	Pathway
REACTOME SYNTHESIS OF LEUKOTRIENES LT AND EOXINS EX	Pathway
REACTOME ARACHIDONIC ACID METABOLISM	Pathway
REACTOME DAP12 INTERACTIONS	Pathway
REACTOME TRANSCRIPTIONAL ACTIVITY OF SMAD2 SMAD3 SMAD4 HETEROTRIMER	Pathway
REACTOME DOWNREGULATION OF SMAD2 3 SMAD4 TRANSCRIPTIONAL ACTIVITY	Pathway
REACTOME SMAD2 SMAD3 SMAD4 HETEROTRIMER REGULATES TRANSCRIPTION	Pathway
REACTOME PI3K AKT SIGNALING IN CANCER	Pathway
REACTOME CONSTITUTIVE SIGNALING BY ABERRANT PI3K IN CANCER	Pathway
REACTOME CELLULAR RESPONSES TO STRESS	Pathway
REACTOME SIGNALING BY TYPE 1 INSULIN LIKE GROWTH FACTOR 1 RECEPTOR IGF1R	Pathway
REACTOME DAP12 SIGNALING	Pathway
REACTOME FC EPSILON RECEPTOR FCERI SIGNALING	Pathway
REACTOME ESTABLISHMENT OF SISTER CHROMATID COHESION	Pathway
REACTOME COHESIN LOADING ONTO CHROMATIN	Pathway
REACTOME OXIDATIVE STRESS INDUCED SENESCENCE	Pathway
REACTOME SENESCENCE ASSOCIATED SECRETORY PHENOTYPE SASP	Pathway
REACTOME CELLULAR SENESCENCE	Pathway
REACTOME FORMATION OF SENESCENCE ASSOCIATED HETEROCHROMATIN FOCI SAHF	Pathway
REACTOME ONCOGENE INDUCED SENESCENCE	Pathway
REACTOME DNA DAMAGE TELOMERE STRESS INDUCED SENESCENCE	Pathway
REACTOME CYTOSOLIC IRON SULFUR CLUSTER ASSEMBLY	Pathway
REACTOME REGULATION OF PLK1 ACTIVITY AT G2 M TRANSITION	Pathway
REACTOME SIGNALING BY LEPTIN	Pathway
REACTOME SIGNALING BY NOTCH1 IN CANCER	Pathway
REACTOME EPH EPHRIN SIGNALING	Pathway
REACTOME SIGNALING BY NOTCH1 HD DOMAIN MUTANTS IN CANCER	Pathway
REACTOME NOTCH2 ACTIVATION AND TRANSMISSION OF SIGNAL TO THE NUCLEUS	Pathway
REACTOME PEPTIDE HORMONE METABOLISM	Pathway
REACTOME SUMOYLATION	Pathway
REACTOME SUMOYLATION OF DNA DAMAGE RESPONSE AND REPAIR PROTEINS	Pathway
REACTOME REGULATION OF INNATE IMMUNE RESPONSES TO CYTOSOLIC DNA	Pathway
REACTOME SUMOYLATION OF TRANSCRIPTION FACTORS	Pathway
REACTOME WNT LIGAND BIOGENESIS AND TRAFFICKING	Pathway
REACTOME IRF3 MEDIATED INDUCTION OF TYPE I IFN	Pathway
REACTOME TRP CHANNELS	Pathway
REACTOME DETOXIFICATION OF REACTIVE OXYGEN SPECIES	Pathway
REACTOME REGULATION BY C FLIP	Pathway
REACTOME REGULATION OF HSF1 MEDIATED HEAT SHOCK RESPONSE	Pathway
REACTOME HSF1 ACTIVATION	Pathway
REACTOME CELLULAR RESPONSE TO HEAT STRESS	Pathway
REACTOME ATTENUATION PHASE	Pathway
REACTOME HSF1 DEPENDENT TRANSACTIVATION	Pathway
REACTOME TRANSCRIPTIONAL REGULATION BY TP53	Pathway
REACTOME CLASS A 1 RHODOPSIN LIKE RECEPTORS	Pathway
REACTOME NETRIN 1 SIGNALING	Pathway
REACTOME NEPHRIN FAMILY INTERACTIONS	Pathway
REACTOME SIGNALING BY ROBO RECEPTORS	Pathway
REACTOME DEACTIVATION OF THE BETA CATENIN TRANSACTIVATING COMPLEX	Pathway
REACTOME NEGATIVE REGULATION OF TCF DEPENDENT SIGNALING BY WNT LIGAND ANTAGONISTS	Pathway
REACTOME ATF6 ATF6 ALPHA ACTIVATES CHAPERONES	Pathway
REACTOME PERK REGULATES GENE EXPRESSION	Pathway
REACTOME UNFOLDED PROTEIN RESPONSE UPR	Pathway
REACTOME ATF6 ATF6 ALPHA ACTIVATES CHAPERONE GENES	Pathway
REACTOME REGULATION OF INSULIN LIKE GROWTH FACTOR IGF TRANSPORT AND UPTAKE BY INSULIN LIKE GROWTH FACTOR BINDING PROTEINS IGFBPS	Pathway
REACTOME SUMOYLATION OF TRANSCRIPTION COFACTORS	Pathway
REACTOME EPHB MEDIATED FORWARD SIGNALING	Pathway
REACTOME EPH EPHRIN MEDIATED REPULSION OF CELLS	Pathway
REACTOME G PROTEIN BETA GAMMA SIGNALLING	Pathway
REACTOME REGULATION OF LIPID METABOLISM BY PEROXISOME PROLIFERATOR ACTIVATED RECEPTOR ALPHA PPARALPHA	Pathway
REACTOME CA2PLUS PATHWAY	Pathway
REACTOME SUMOYLATION OF INTRACELLULAR RECEPTORS	Pathway
REACTOME G ALPHA 12 13 SIGNALLING EVENTS	Pathway
REACTOME CASPASE ACTIVATION VIA DEPENDENCE RECEPTORS IN THE ABSENCE OF LIGAND	Pathway
REACTOME ACTIVATION OF RAC1	Pathway
REACTOME REGULATION OF COMMISSURAL AXON PATHFINDING BY SLIT AND ROBO	Pathway
REACTOME CREB1 PHOSPHORYLATION THROUGH NMDA RECEPTOR MEDIATED ACTIVATION OF RAS SIGNALING	Pathway
REACTOME ACTIVATION OF NMDA RECEPTORS AND POSTSYNAPTIC EVENTS	Pathway
REACTOME RAS ACTIVATION UPON CA2PLUS INFLUX THROUGH NMDA RECEPTOR	Pathway
REACTOME INTERLEUKIN 1 FAMILY SIGNALING	Pathway
REACTOME INTERLEUKIN 12 FAMILY SIGNALING	Pathway
REACTOME INTERLEUKIN 17 SIGNALING	Pathway
REACTOME OTHER INTERLEUKIN SIGNALING	Pathway
REACTOME ACTIVATION OF THE AP 1 FAMILY OF TRANSCRIPTION FACTORS	Pathway
REACTOME INTERLEUKIN 2 FAMILY SIGNALING	Pathway
REACTOME DEGRADATION OF AXIN	Pathway
REACTOME DEGRADATION OF DVL	Pathway
REACTOME DISASSEMBLY OF THE DESTRUCTION COMPLEX AND RECRUITMENT OF AXIN TO THE MEMBRANE	Pathway
REACTOME SUMOYLATION OF IMMUNE RESPONSE PROTEINS	Pathway
REACTOME SIGNALING BY WNT IN CANCER	Pathway
REACTOME CHROMATIN ORGANIZATION	Pathway
REACTOME PHOSPHORYLATION SITE MUTANTS OF CTNNB1 ARE NOT TARGETED TO THE PROTEASOME BY THE DESTRUCTION COMPLEX	Pathway
REACTOME INTERCONVERSION OF NUCLEOTIDE DI AND TRIPHOSPHATES	Pathway
REACTOME INTERLEUKIN 3 INTERLEUKIN 5 AND GM CSF SIGNALING	Pathway
REACTOME MITOPHAGY	Pathway
REACTOME PINK PARKIN MEDIATED MITOPHAGY	Pathway
REACTOME REGULATED NECROSIS	Pathway
