SYMBOL	GO TERM	GO NAME	TAXON ID
BABAM1	GO:0006974	cellular response to DNA damage stimulus	9606
UBA6	GO:0006974	cellular response to DNA damage stimulus	9606
JMY	GO:0006974	cellular response to DNA damage stimulus	9606
HPF1	GO:0006974	cellular response to DNA damage stimulus	9606
MCM5	GO:0006974	cellular response to DNA damage stimulus	9606
MCM4	GO:0006974	cellular response to DNA damage stimulus	9606
WRNIP1	GO:0006974	cellular response to DNA damage stimulus	9606
NEDD4	GO:0006974	cellular response to DNA damage stimulus	9606
E2F8	GO:0006974	cellular response to DNA damage stimulus	9606
SMCHD1	GO:0006974	cellular response to DNA damage stimulus	9606
ENDOV	GO:0006974	cellular response to DNA damage stimulus	9606
MCM9	GO:0006974	cellular response to DNA damage stimulus	9606
EIF2AK4	GO:0006974	cellular response to DNA damage stimulus	9606
MDM2	GO:0006974	cellular response to DNA damage stimulus	9606
NSMCE4A	GO:0006974	cellular response to DNA damage stimulus	9606
IMMP2L	GO:0006974	cellular response to DNA damage stimulus	9606
ZBTB4	GO:0006974	cellular response to DNA damage stimulus	9606
KDM4D	GO:0006974	cellular response to DNA damage stimulus	9606
FNIP2	GO:0006974	cellular response to DNA damage stimulus	9606
CGAS	GO:0006974	cellular response to DNA damage stimulus	9606
TIMELESS	GO:0006974	cellular response to DNA damage stimulus	9606
CNOT1	GO:0006974	cellular response to DNA damage stimulus	9606
CBX5	GO:0006974	cellular response to DNA damage stimulus	9606
WDR33	GO:0006974	cellular response to DNA damage stimulus	9606
YY1	GO:0006974	cellular response to DNA damage stimulus	9606
CDK7	GO:0006974	cellular response to DNA damage stimulus	9606
WRN	GO:0006974	cellular response to DNA damage stimulus	9606
GTF2H2C	GO:0006974	cellular response to DNA damage stimulus	9606
TFDP2	GO:0006974	cellular response to DNA damage stimulus	9606
TFDP1	GO:0006974	cellular response to DNA damage stimulus	9606
MICA	GO:0006974	cellular response to DNA damage stimulus	9606
SMYD2	GO:0006974	cellular response to DNA damage stimulus	9606
SPIDR	GO:0006974	cellular response to DNA damage stimulus	9606
KIN	GO:0006974	cellular response to DNA damage stimulus	9606
EP300	GO:0006974	cellular response to DNA damage stimulus	9606
DEK	GO:0006974	cellular response to DNA damage stimulus	9606
UBQLN4	GO:0006974	cellular response to DNA damage stimulus	9606
DDIT3	GO:0006974	cellular response to DNA damage stimulus	9606
FUS	GO:0006974	cellular response to DNA damage stimulus	9606
RPS27A	GO:0006974	cellular response to DNA damage stimulus	9606
COPS8	GO:0006974	cellular response to DNA damage stimulus	9606
RAD9A	GO:0006974	cellular response to DNA damage stimulus	9606
SETD7	GO:0006974	cellular response to DNA damage stimulus	9606
BAD	GO:0006974	cellular response to DNA damage stimulus	9606
AKT1	GO:0006974	cellular response to DNA damage stimulus	9606
RNF8	GO:0006974	cellular response to DNA damage stimulus	9606
ATRIP	GO:0006974	cellular response to DNA damage stimulus	9606
CCNB1	GO:0006974	cellular response to DNA damage stimulus	9606
