SYMBOL	GO TERM	GO NAME	TAXON ID
GNRH1	GO:0006915	apoptotic process	9606
NDUFS1	GO:0006915	apoptotic process	9606
NGF	GO:0006915	apoptotic process	9606
TGFB1	GO:0006915	apoptotic process	9606
EYA1	GO:0006915	apoptotic process	9606
CD27	GO:0006915	apoptotic process	9606
STK17A	GO:0006915	apoptotic process	9606
DNASE2B	GO:0006915	apoptotic process	9606
RFFL	GO:0006915	apoptotic process	9606
KRAS	GO:0006915	apoptotic process	9606
HRAS	GO:0006915	apoptotic process	9606
LOX	GO:0006915	apoptotic process	9606
MYC	GO:0006915	apoptotic process	9606
PRKCD	GO:0006915	apoptotic process	9606
EEF1A2	GO:0006915	apoptotic process	9606
CHCHD10	GO:0006915	apoptotic process	9606
BCL2L2	GO:0006915	apoptotic process	9606
KIFAP3	GO:0006915	apoptotic process	9606
GHSR	GO:0006915	apoptotic process	9606
P2RX7	GO:0006915	apoptotic process	9606
TSC22D3	GO:0006915	apoptotic process	9606
MSH2	GO:0006915	apoptotic process	9606
DHCR24	GO:0006915	apoptotic process	9606
MNT	GO:0006915	apoptotic process	9606
TOP2A	GO:0006915	apoptotic process	9606
CSRNP3	GO:0006915	apoptotic process	9606
APBB2	GO:0006915	apoptotic process	9606
TRAF6	GO:0006915	apoptotic process	9606
FGFR1	GO:0006915	apoptotic process	9606
ARHGEF1	GO:0006915	apoptotic process	9606
ARF4	GO:0006915	apoptotic process	9606
HYOU1	GO:0006915	apoptotic process	9606
BMP7	GO:0006915	apoptotic process	9606
ERCC2	GO:0006915	apoptotic process	9606
ALOX12	GO:0006915	apoptotic process	9606
ING5	GO:0006915	apoptotic process	9606
PIM1	GO:0006915	apoptotic process	9606
PTPN1	GO:0006915	apoptotic process	9606
FLNA	GO:0006915	apoptotic process	9606
ADIPOQ	GO:0006915	apoptotic process	9606
NF1	GO:0006915	apoptotic process	9606
UBE2V2	GO:0006915	apoptotic process	9606
ITSN1	GO:0006915	apoptotic process	9606
PPP2R2B	GO:0006915	apoptotic process	9606
ARHGEF3	GO:0006915	apoptotic process	9606
KITLG	GO:0006915	apoptotic process	9606
TNFAIP3	GO:0006915	apoptotic process	9606
CTNNBL1	GO:0006915	apoptotic process	9606
GDF1	GO:0006915	apoptotic process	9606
M0QZQ0	GO:0006915	apoptotic process	9606
CNR1	GO:0006915	apoptotic process	9606
UFL1	GO:0006915	apoptotic process	9606
EMC4	GO:0006915	apoptotic process	9606
MAGI3	GO:0006915	apoptotic process	9606
PIK3CG	GO:0006915	apoptotic process	9606
IL7R	GO:0006915	apoptotic process	9606
CDK1	GO:0006915	apoptotic process	9606
MYCNOS	GO:0006915	apoptotic process	9606
MSX2	GO:0006915	apoptotic process	9606
HYAL2	GO:0006915	apoptotic process	9606
IKBKB	GO:0006915	apoptotic process	9606
BRAF	GO:0006915	apoptotic process	9606
GRIN2A	GO:0006915	apoptotic process	9606
UBE2Z	GO:0006915	apoptotic process	9606
ATG3	GO:0006915	apoptotic process	9606
MERTK	GO:0006915	apoptotic process	9606
WNT9A	GO:0006915	apoptotic process	9606
MAP3K12	GO:0006915	apoptotic process	9606
STX4	GO:0006915	apoptotic process	9606
NEK6	GO:0006915	apoptotic process	9606
POU4F2	GO:0006915	apoptotic process	9606
BCL7B	GO:0006915	apoptotic process	9606
SERPINB9	GO:0006915	apoptotic process	9606
HMGB1	GO:0006915	apoptotic process	9606
AKAP13	GO:0006915	apoptotic process	9606
RELT	GO:0006915	apoptotic process	9606
MAPK8IP1	GO:0006915	apoptotic process	9606
PF4	GO:0006915	apoptotic process	9606
LTF	GO:0006915	apoptotic process	9606
TMBIM1	GO:0006915	apoptotic process	9606
ZDHHC16	GO:0006915	apoptotic process	9606
PSMG2	GO:0006915	apoptotic process	9606
CEACAM6	GO:0006915	apoptotic process	9606
TOX3	GO:0006915	apoptotic process	9606
IL6ST	GO:0006915	apoptotic process	9606
CAAP1	GO:0006915	apoptotic process	9606
ZNF622	GO:0006915	apoptotic process	9606
ID3	GO:0006915	apoptotic process	9606
