SYMBOL	GO TERM	GO NAME	TAXON ID
PRKCD	GO:0034599	cellular response to oxidative stress	9606
BMP7	GO:0034599	cellular response to oxidative stress	9606
TNFAIP3	GO:0034599	cellular response to oxidative stress	9606
CDK1	GO:0034599	cellular response to oxidative stress	9606
MGAT3	GO:0034599	cellular response to oxidative stress	9606
MAPKAP1	GO:0034599	cellular response to oxidative stress	9606
ZNF622	GO:0034599	cellular response to oxidative stress	9606
ROMO1	GO:0034599	cellular response to oxidative stress	9606
FOXO1	GO:0034599	cellular response to oxidative stress	9606
FBXW7	GO:0034599	cellular response to oxidative stress	9606
RPS3	GO:0034599	cellular response to oxidative stress	9606
NET1	GO:0034599	cellular response to oxidative stress	9606
CPEB2	GO:0034599	cellular response to oxidative stress	9606
PPARGC1A	GO:0034599	cellular response to oxidative stress	9606
HDAC6	GO:0034599	cellular response to oxidative stress	9606
HSF1	GO:0034599	cellular response to oxidative stress	9606
LONP1	GO:0034599	cellular response to oxidative stress	9606
SETX	GO:0034599	cellular response to oxidative stress	9606
NR4A3	GO:0034599	cellular response to oxidative stress	9606
TSC1	GO:0034599	cellular response to oxidative stress	9606
CBX8	GO:0034599	cellular response to oxidative stress	9606
EIF2S1	GO:0034599	cellular response to oxidative stress	9606
MPO	GO:0034599	cellular response to oxidative stress	9606
NOX4	GO:0034599	cellular response to oxidative stress	9606
PRR5L	GO:0034599	cellular response to oxidative stress	9606
STK26	GO:0034599	cellular response to oxidative stress	9606
ARG1	GO:0034599	cellular response to oxidative stress	9606
BNIP3	GO:0034599	cellular response to oxidative stress	9606
TMEM161A	GO:0034599	cellular response to oxidative stress	9606
ANKRD2	GO:0034599	cellular response to oxidative stress	9606
CYBA	GO:0034599	cellular response to oxidative stress	9606
PDCD10	GO:0034599	cellular response to oxidative stress	9606
IMPACT	GO:0034599	cellular response to oxidative stress	9606
GUCY1B1	GO:0034599	cellular response to oxidative stress	9606
SMPD3	GO:0034599	cellular response to oxidative stress	9606
MDM2	GO:0034599	cellular response to oxidative stress	9606
ABCD1	GO:0034599	cellular response to oxidative stress	9606
MAPK9	GO:0034599	cellular response to oxidative stress	9606
MAPK8	GO:0034599	cellular response to oxidative stress	9606
KEAP1	GO:0034599	cellular response to oxidative stress	9606
GPR37L1	GO:0034599	cellular response to oxidative stress	9606
HNRNPD	GO:0034599	cellular response to oxidative stress	9606
FZD1	GO:0034599	cellular response to oxidative stress	9606
AKT1	GO:0034599	cellular response to oxidative stress	9606
MGST1	GO:0034599	cellular response to oxidative stress	9606
DAPK1	GO:0034599	cellular response to oxidative stress	9606
ATP2A2	GO:0034599	cellular response to oxidative stress	9606
NCF2	GO:0034599	cellular response to oxidative stress	9606
GATA4	GO:0034599	cellular response to oxidative stress	9606
INS	GO:0034599	cellular response to oxidative stress	9606
PNPT1	GO:0034599	cellular response to oxidative stress	9606
FBXO7	GO:0034599	cellular response to oxidative stress	9606
GPX2	GO:0034599	cellular response to oxidative stress	9606
LRRK2	GO:0034599	cellular response to oxidative stress	9606
MAPK1	GO:0034599	cellular response to oxidative stress	9606
VKORC1L1	GO:0034599	cellular response to oxidative stress	9606
PENK	GO:0034599	cellular response to oxidative stress	9606
