pathway	entrezgene
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2826
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	9180
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2829
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	50604
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	83729
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	80301
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3627
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4352
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10850
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3625
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3626
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	163702
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3624
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4254
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	55504
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7852
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7850
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3815
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	970
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4982
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3953
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10663
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	84957
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3952
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	29949
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4049
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3605
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3606
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3604
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5008
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8200
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3601
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3600
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10563
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4050
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8718
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4055
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	58985
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	959
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	958
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	728045
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2690
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8807
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4283
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	23765
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2688
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3976
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2689
