pathway	entrezgene
KEGG BASE EXCISION REPAIR	252969
KEGG BASE EXCISION REPAIR	4350
KEGG BASE EXCISION REPAIR	23583
KEGG BASE EXCISION REPAIR	7515
KEGG BASE EXCISION REPAIR	56655
KEGG BASE EXCISION REPAIR	3146
KEGG BASE EXCISION REPAIR	54107
KEGG BASE EXCISION REPAIR	57804
KEGG BASE EXCISION REPAIR	8930
KEGG BASE EXCISION REPAIR	4968
KEGG BASE EXCISION REPAIR	7374
KEGG BASE EXCISION REPAIR	10714
KEGG BASE EXCISION REPAIR	5111
KEGG BASE EXCISION REPAIR	79661
KEGG BASE EXCISION REPAIR	5427
KEGG BASE EXCISION REPAIR	143
KEGG BASE EXCISION REPAIR	10039
KEGG BASE EXCISION REPAIR	10038
KEGG BASE EXCISION REPAIR	5423
KEGG BASE EXCISION REPAIR	328
KEGG BASE EXCISION REPAIR	27343
KEGG BASE EXCISION REPAIR	5424
KEGG BASE EXCISION REPAIR	5425
KEGG BASE EXCISION REPAIR	5426
KEGG BASE EXCISION REPAIR	55247
KEGG BASE EXCISION REPAIR	6996
KEGG BASE EXCISION REPAIR	27301
KEGG BASE EXCISION REPAIR	3980
KEGG BASE EXCISION REPAIR	10357
KEGG BASE EXCISION REPAIR	4913
KEGG BASE EXCISION REPAIR	100506595
KEGG BASE EXCISION REPAIR	2237
KEGG BASE EXCISION REPAIR	3978
KEGG BASE EXCISION REPAIR	4595
KEGG BASE EXCISION REPAIR	142
KEGG MISMATCH REPAIR	27030
KEGG MISMATCH REPAIR	5424
KEGG MISMATCH REPAIR	4292
KEGG MISMATCH REPAIR	5425
KEGG MISMATCH REPAIR	5981
KEGG MISMATCH REPAIR	4436
KEGG MISMATCH REPAIR	5983
KEGG MISMATCH REPAIR	5982
KEGG MISMATCH REPAIR	4437
KEGG MISMATCH REPAIR	57804
KEGG MISMATCH REPAIR	5395
KEGG MISMATCH REPAIR	5984
KEGG MISMATCH REPAIR	3978
KEGG MISMATCH REPAIR	5985
KEGG MISMATCH REPAIR	6117
KEGG MISMATCH REPAIR	2956
KEGG MISMATCH REPAIR	6119
KEGG MISMATCH REPAIR	10714
KEGG MISMATCH REPAIR	6118
KEGG MISMATCH REPAIR	5111
KEGG MISMATCH REPAIR	6742
KEGG MISMATCH REPAIR	29935
KEGG MISMATCH REPAIR	9156
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10344
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8741
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3082
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6349
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8742
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	943
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8743
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6347
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	944
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8744
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6348
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8740
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	50615
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6352
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6351
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6357
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	55540
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6356
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6355
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6354
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	608
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8600
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	51561
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1489
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2321
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6358
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2322
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6359
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2323
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2324
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	50616
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	939
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6362
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6361
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6364
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6363
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6366
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6368
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6367
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7173
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6360
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1437
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1436
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	115650
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3597
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1435
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5618
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5617
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8764
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	338376
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6369
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1439
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1438
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7042
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7040
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6376
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	149233
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6375
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6374
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6373
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6372
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	729230
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6370
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1440
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7048
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7046
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4233
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7043
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2833
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1441
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	23529
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	27190
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6387
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2826
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	9180
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2829
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	50604
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	83729
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	80301
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3627
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4352
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10850
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3625
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3626
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	163702
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3624
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4254
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	55504
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7852
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7850
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3815
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	970
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4982
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3953
