pathway	entrezgene
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10344
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8741
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3082
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6349
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8742
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	943
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8743
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6347
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	944
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8744
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6348
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8740
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	50615
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6352
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6351
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6357
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	55540
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6356
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6355
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6354
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	608
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8600
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	51561
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1489
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2321
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6358
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2322
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6359
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2323
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2324
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	50616
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	939
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6362
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6361
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6364
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6363
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6366
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6368
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6367
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7173
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6360
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1437
