id	type
8065	Gene
6376	Gene
1524	Gene
3627	Gene
6387	Gene
3579	Gene
2833	Gene
7852	Gene
54205	Gene
26999	Gene
1540	Gene
1545	Gene
1601	Gene
112267931	Gene
153090	Gene
1603	Gene
1611	Gene
7818	Gene
1612	Gene
23604	Gene
1613	Gene
92196	Gene
1616	Gene
113523636	Gene
1621	Gene
1630	Gene
123879	Gene
23564	Gene
1642	Gene
220042	Gene
1649	Gene
54541	Gene
65992	Gene
11218	Gene
1654	Gene
51428	Gene
11325	Gene
51202	Gene
1655	Gene
9191	Gene
162989	Gene
9812	Gene
64798	Gene
1676	Gene
1677	Gene
1718	Gene
1723	Gene
10202	Gene
56616	Gene
23405	Gene
11083	Gene
1735	Gene
23181	Gene
205428	Gene
22943	Gene
27120	Gene
10395	Gene
9231	Gene
28514	Gene
1745	Gene
1760	Gene
3301	Gene
9093	Gene
10049	Gene
54431	Gene
5611	Gene
80331	Gene
1773	Gene
1776	Gene
1777	Gene
58511	Gene
10059	Gene
1785	Gene
1786	Gene
1788	Gene
1793	Gene
81704	Gene
1800	Gene
8193	Gene
5977	Gene
54878	Gene
55332	Gene
128338	Gene
374946	Gene
1814	Gene
25778	Gene
1843	Gene
1848	Gene
100288687	Gene
284254	Gene
8655	Gene
8445	Gene
8444	Gene
1869	Gene
1870	Gene
1871	Gene
55840	Gene
9166	Gene
641700	Gene
1894	Gene
60401	Gene
10913	Gene
1906	Gene
1910	Gene
1917	Gene
9521	Gene
29904	Gene
1942	Gene
1956	Gene
112398	Gene
112399	Gene
1958	Gene
1960	Gene
9538	Gene
5610	Gene
9451	Gene
8893	Gene
1965	Gene
1984	Gene
80237	Gene
9844	Gene
63916	Gene
79767	Gene
51234	Gene
2019	Gene
2020	Gene
2021	Gene
2023	Gene
2033	Gene
23136	Gene
4072	Gene
1969	Gene
2045	Gene
2056	Gene
2065	Gene
2066	Gene
23085	Gene
2068	Gene
2071	Gene
2073	Gene
100533467	Gene
267004	Gene
2074	Gene
2081	Gene
30001	Gene
10961	Gene
9700	Gene
2099	Gene
2120	Gene
84141	Gene
2124	Gene
10640	Gene
9941	Gene
2138	Gene
2139	Gene
2140	Gene
2070	Gene
2149	Gene
2152	Gene
2168	Gene
8772	Gene
11124	Gene
55179	Gene
23017	Gene
26355	Gene
26017	Gene
54097	Gene
92565	Gene
2191	Gene
355	Gene
356	Gene
10922	Gene
89885	Gene
84893	Gene
26267	Gene
80204	Gene
55294	Gene
2207	Gene
9214	Gene
10116	Gene
338557	Gene
2243	Gene
2244	Gene
2245	Gene
221472	Gene
89846	Gene
121512	Gene
2255	Gene
26281	Gene
26291	Gene
2249	Gene
2253	Gene
2260	Gene
2263	Gene
2261	Gene
2266	Gene
2272	Gene
2274	Gene
63979	Gene
51024	Gene
23770	Gene
201163	Gene
2316	Gene
2322	Gene
2323	Gene
2324	Gene
56776	Gene
96459	Gene
57600	Gene
8061	Gene
3169	Gene
27023	Gene
2296	Gene
2303	Gene
2301	Gene
668	Gene
2308	Gene
2309	Gene
27086	Gene
94234	Gene
10818	Gene
2487	Gene
2395	Gene
8087	Gene
2534	Gene
7976	Gene
7855	Gene
8326	Gene
50486	Gene
55632	Gene
2539	Gene
11337	Gene
2558	Gene
2561	Gene
2562	Gene
1647	Gene
4616	Gene
10912	Gene
51083	Gene
2597	Gene
2619	Gene
2620	Gene
2621	Gene
2623	Gene
2624	Gene
2625	Gene
2626	Gene
2627	Gene
2641	Gene
2729	Gene
2730	Gene
2657	Gene
2662	Gene
10220	Gene
9518	Gene
2658	Gene
9573	Gene
8200	Gene
392255	Gene
151449	Gene
2661	Gene
2668	Gene
389400	Gene
79017	Gene
27069	Gene
51738	Gene
2693	Gene
155038	Gene
2697	Gene
10804	Gene
2736	Gene
2737	Gene
2739	Gene
51022	Gene
27165	Gene
2765	Gene
10672	Gene
2771	Gene
2773	Gene
2782	Gene
2792	Gene
2796	Gene
64083	Gene
57678	Gene
2852	Gene
2822	Gene
8477	Gene
2876	Gene
23151	Gene
26585	Gene
2895	Gene
2898	Gene
2901	Gene
2902	Gene
2903	Gene
2907	Gene
2869	Gene
2914	Gene
2896	Gene
284110	Gene
1687	Gene
2931	Gene
2932	Gene
51527	Gene
2934	Gene
2950	Gene
51454	Gene
3001	Gene
3002	Gene
2999	Gene
3003	Gene
3004	Gene
9464	Gene
10456	Gene
338442	Gene
3055	Gene
3059	Gene
3065	Gene
3066	Gene
8841	Gene
9759	Gene
9709	Gene
23493	Gene
3082	Gene
64399	Gene
3090	Gene
3091	Gene
64344	Gene
25994	Gene
192286	Gene
3094	Gene
84681	Gene
3092	Gene
9026	Gene
204851	Gene
28996	Gene
10114	Gene
3099	Gene
3135	Gene
8091	Gene
3146	Gene
3148	Gene
3156	Gene
79366	Gene
3162	Gene
6928	Gene
3190	Gene
3202	Gene
3248	Gene
3249	Gene
3265	Gene
3273	Gene
8739	Gene
64342	Gene
3297	Gene
84941	Gene
3326	Gene
7184	Gene
3303	Gene
3304	Gene
3309	Gene
3313	Gene
3315	Gene
126393	Gene
3329	Gene
3336	Gene
10553	Gene
3357	Gene
27429	Gene
3064	Gene
8692	Gene
10525	Gene
25764	Gene
3375	Gene
3383	Gene
3397	Gene
3399	Gene
3620	Gene
8870	Gene
51124	Gene
3428	Gene
3429	Gene
122509	Gene
83982	Gene
2537	Gene
3433	Gene
3437	Gene
3440	Gene
3456	Gene
3458	Gene
55081	Gene
3476	Gene
3479	Gene
3480	Gene
3482	Gene
3486	Gene
3549	Gene
3551	Gene
9641	Gene
8517	Gene
22806	Gene
3586	Gene
3592	Gene
3593	Gene
3596	Gene
3605	Gene
29949	Gene
3552	Gene
3553	Gene
3558	Gene
53832	Gene
11009	Gene
3559	Gene
3560	Gene
133396	Gene
90865	Gene
3565	Gene
3569	Gene
3570	Gene
3572	Gene
3574	Gene
3575	Gene
3611	Gene
388324	Gene
3622	Gene
54556	Gene
51147	Gene
84289	Gene
3623	Gene
3624	Gene
3625	Gene
3626	Gene
83729	Gene
3635	Gene
3630	Gene
51447	Gene
3654	Gene
3659	Gene
3661	Gene
3663	Gene
3665	Gene
8660	Gene
3670	Gene
83737	Gene
3672	Gene
3676	Gene
3678	Gene
3655	Gene
3684	Gene
3685	Gene
3688	Gene
3689	Gene
23421	Gene
81618	Gene
3707	Gene
3708	Gene
85450	Gene
6453	Gene
10625	Gene
79960	Gene
3714	Gene
3717	Gene
3718	Gene
133746	Gene
10899	Gene
3725	Gene
8997	Gene
25959	Gene
3745	Gene
30818	Gene
3778	Gene
10945	Gene
23028	Gene
84678	Gene
3791	Gene
80759	Gene
100129128	Gene
9928	Gene
23095	Gene
22920	Gene
4254	Gene
8462	Gene
9314	Gene
27252	Gene
100144748	Gene
4297	Gene
3827	Gene
3836	Gene
3837	Gene
3845	Gene
83999	Gene
889	Gene
3875	Gene
54474	Gene
3856	Gene
90070	Gene
3906	Gene
3916	Gene
27074	Gene
10542	Gene
10314	Gene
9113	Gene
26524	Gene
3932	Gene
51451	Gene
3934	Gene
3939	Gene
51176	Gene
10637	Gene
7044	Gene
3952	Gene
3956	Gene
85329	Gene
29124	Gene
56891	Gene
148003	Gene
3958	Gene
3963	Gene
653499	Gene
3965	Gene
5641	Gene
8022	Gene
89884	Gene
3981	Gene
10859	Gene
55679	Gene
55716	Gene
4000	Gene
4015	Gene
1902	Gene
4035	Gene
4036	Gene
4040	Gene
7804	Gene
120892	Gene
4049	Gene
4055	Gene
4057	Gene
4058	Gene
23643	Gene
4067	Gene
4085	Gene
8567	Gene
10296	Gene
84944	Gene
4099	Gene
4102	Gene
9500	Gene
28986	Gene
260425	Gene
4118	Gene
10892	Gene
55201	Gene
6416	Gene
5607	Gene
5608	Gene
5609	Gene
4294	Gene
4296	Gene
7786	Gene
51776	Gene
4217	Gene
6885	Gene
4293	Gene
9448	Gene
5594	Gene
1432	Gene
5595	Gene
5598	Gene
5599	Gene
9479	Gene
23542	Gene
5601	Gene
4137	Gene
4149	Gene
4150	Gene
4168	Gene
23263	Gene
4170	Gene
4171	Gene
4192	Gene
4193	Gene
4194	Gene
2122	Gene
4204	Gene
5469	Gene
4205	Gene
4208	Gene
4209	Gene
84466	Gene
56917	Gene
9833	Gene
10461	Gene
196541	Gene
56947	Gene
9927	Gene
10227	Gene
4255	Gene
64780	Gene
84299	Gene
4282	Gene
80013	Gene
2872	Gene
4292	Gene
10962	Gene
4318	Gene
4331	Gene
4332	Gene
4335	Gene
64112	Gene
4353	Gene
255027	Gene
4361	Gene
64975	Gene
10884	Gene
4436	Gene
2956	Gene
2660	Gene
4487	Gene
4488	Gene
4494	Gene
4504	Gene
23787	Gene
23788	Gene
92140	Gene
51537	Gene
4544	Gene
2475	Gene
100462977	Gene
100463488	Gene
100462981	Gene
100462983	Gene
100463285	Gene
100463289	Gene
100463482	Gene
100288485	Gene
100463486	Gene
4582	Gene
79594	Gene
4599	Gene
4602	Gene
10514	Gene
4605	Gene
4609	Gene
4615	Gene
56005	Gene
399687	Gene
93649	Gene
51237	Gene
80155	Gene
79612	Gene
60560	Gene
84316	Gene
138151	Gene
8883	Gene
203245	Gene
4671	Gene
342977	Gene
9027	Gene
51471	Gene
4683	Gene
653361	Gene
4690	Gene
8440	Gene
10787	Gene
3071	Gene
8648	Gene
23385	Gene
79625	Gene
10397	Gene
51079	Gene
4719	Gene
4722	Gene
4747	Gene
10783	Gene
10763	Gene
10276	Gene
9148	Gene
4760	Gene
4763	Gene
4771	Gene
4776	Gene
4780	Gene
4790	Gene
4792	Gene
84807	Gene
58157	Gene
25791	Gene
4803	Gene
4804	Gene
64855	Gene
11188	Gene
1482	Gene
137814	Gene
4824	Gene
579	Gene
54475	Gene
58484	Gene
22861	Gene
91662	Gene
55655	Gene
286430	Gene
114548	Gene
4830	Gene
4831	Gene
4832	Gene
8382	Gene
10201	Gene
64802	Gene
4836	Gene
23530	Gene
84273	Gene
26155	Gene
10392	Gene
64127	Gene
4838	Gene
9241	Gene
8996	Gene
4841	Gene
29997	Gene
4846	Gene
4851	Gene
4853	Gene
27035	Gene
50507	Gene
79400	Gene
4869	Gene
4889	Gene
1728	Gene
4835	Gene
9971	Gene
7101	Gene
2908	Gene
4929	Gene
8013	Gene
340371	Gene
8829	Gene
27065	Gene
8439	Gene
26012	Gene
4908	Gene
4909	Gene
9423	Gene
4914	Gene
4915	Gene
4916	Gene
4923	Gene
81788	Gene
318	Gene
389643	Gene
23636	Gene
26471	Gene
84033	Gene
4968	Gene
8473	Gene
10439	Gene
115209	Gene
4976	Gene
29948	Gene
130497	Gene
55074	Gene
5023	Gene
5025	Gene
5027	Gene
5034	Gene
5036	Gene
23241	Gene
5047	Gene
5051	Gene
9506	Gene
5058	Gene
5062	Gene
5063	Gene
10298	Gene
57144	Gene
56924	Gene
106821730	Gene
79728	Gene
51025	Gene
101927423	Gene
11315	Gene
142	Gene
10038	Gene
5074	Gene
5076	Gene
5077	Gene
5081	Gene
7849	Gene
7703	Gene
55795	Gene
255738	Gene
5133	Gene
11235	Gene
5134	Gene
27250	Gene
9141	Gene
10016	Gene
10015	Gene
10081	Gene
79031	Gene
5136	Gene
5153	Gene
5139	Gene
5159	Gene
2923	Gene
5163	Gene
5164	Gene
5166	Gene
5170	Gene
10630	Gene
3651	Gene
8682	Gene
23089	Gene
5178	Gene
246330	Gene
64065	Gene
5196	Gene
5245	Gene
11331	Gene
55023	Gene
22822	Gene
7262	Gene
23612	Gene
23239	Gene
8554	Gene
51588	Gene
55367	Gene
51604	Gene
55011	Gene
5290	Gene
5291	Gene
5293	Gene
5294	Gene
5295	Gene
5292	Gene
11040	Gene
415116	Gene
5300	Gene
65018	Gene
5304	Gene
138429	Gene
5309	Gene
5314	Gene
5585	Gene
5586	Gene
8398	Gene
51316	Gene
5325	Gene
5326	Gene
5329	Gene
5335	Gene
79156	Gene
64857	Gene
57449	Gene
84069	Gene
5347	Gene
10769	Gene
1263	Gene
126520	Gene
5359	Gene
57048	Gene
5366	Gene
5371	Gene
9240	Gene
10687	Gene
29944	Gene
114824	Gene
5423	Gene
5436	Gene
5447	Gene
5455	Gene
5456	Gene
5457	Gene
5458	Gene
5459	Gene
5467	Gene
5468	Gene
10891	Gene
5481	Gene
10105	Gene
9647	Gene
5499	Gene
5514	Gene
23368	Gene
10848	Gene
23645	Gene
5515	Gene
5516	Gene
5518	Gene
5519	Gene
5521	Gene
5533	Gene
5534	Gene
5538	Gene
23532	Gene
65121	Gene
343071	Gene
440560	Gene
390999	Gene
400736	Gene
729528	Gene
653619	Gene
391004	Gene
653606	Gene
391003	Gene
645414	Gene
65122	Gene
645425	Gene
441873	Gene
645359	Gene
101929983	Gene
645382	Gene
400735	Gene
343068	Gene
440561	Gene
441871	Gene
391002	Gene
343070	Gene
56981	Gene
56979	Gene
7001	Gene
10935	Gene
25824	Gene
27166	Gene
57580	Gene
5551	Gene
5562	Gene
5563	Gene
5578	Gene
5579	Gene
5580	Gene
5581	Gene
5582	Gene
5583	Gene
5584	Gene
5588	Gene
5590	Gene
5587	Gene
5591	Gene
5071	Gene
8575	Gene
5618	Gene
3275	Gene
5621	Gene
5624	Gene
5625	Gene
60675	Gene
5626	Gene
80758	Gene
158471	Gene
5663	Gene
5664	Gene
55851	Gene
5716	Gene
10197	Gene
56984	Gene
171558	Gene
5728	Gene
5737	Gene
5740	Gene
5743	Gene
5741	Gene
5747	Gene
2185	Gene
5757	Gene
5764	Gene
5524	Gene
114971	Gene
5770	Gene
5771	Gene
5777	Gene
5788	Gene
5794	Gene
5803	Gene
51651	Gene
754	Gene
22827	Gene
222659	Gene
29108	Gene
9135	Gene
5875	Gene
5876	Gene
10399	Gene
5885	Gene
5883	Gene
5894	Gene
5896	Gene
5899	Gene
10266	Gene
9693	Gene
5913	Gene
5914	Gene
5915	Gene
5916	Gene
5921	Gene
5924	Gene
9770	Gene
283349	Gene
83593	Gene
166824	Gene
8045	Gene
5925	Gene
9821	Gene
10616	Gene
8241	Gene
58517	Gene
10181	Gene
5970	Gene
84957	Gene
5978	Gene
5979	Gene
54463	Gene
117584	Gene
55312	Gene
5988	Gene
28984	Gene
5863	Gene
9104	Gene
84236	Gene
387	Gene
388	Gene
55288	Gene
89941	Gene
8737	Gene
8767	Gene
11035	Gene
55177	Gene
79845	Gene
55819	Gene
255488	Gene
220441	Gene
114804	Gene
138065	Gene
54546	Gene
54476	Gene
80196	Gene
10193	Gene
10921	Gene
6091	Gene
6092	Gene
6093	Gene
6134	Gene
6135	Gene
6154	Gene
6233	Gene
51065	Gene
6188	Gene
6189	Gene
6194	Gene
6195	Gene
6196	Gene
6197	Gene
6198	Gene
6201	Gene
10670	Gene
64121	Gene
50484	Gene
54700	Gene
23076	Gene
23378	Gene
26156	Gene
6242	Gene
219790	Gene
79680	Gene
10313	Gene
57142	Gene
122042	Gene
23429	Gene
6262	Gene
57402	Gene
6279	Gene
6280	Gene
6285	Gene
10284	Gene
29115	Gene
23098	Gene
60485	Gene
7857	Gene
388325	Gene
85477	Gene
6326	Gene
23513	Gene
85508	Gene
642658	Gene
23753	Gene
58515	Gene
55829	Gene
10371	Gene
10507	Gene
9037	Gene
57556	Gene
29843	Gene
5414	Gene
989	Gene
26135	Gene
10955	Gene
5275	Gene
5055	Gene
5272	Gene
5054	Gene
6418	Gene
23064	Gene
2810	Gene
6421	Gene
6422	Gene
6423	Gene
6424	Gene
6425	Gene
6446	Gene
100533105	Gene
23678	Gene
259230	Gene
8879	Gene
81537	Gene
51100	Gene
30011	Gene
57630	Gene
153769	Gene
344558	Gene
81858	Gene
6461	Gene
6464	Gene
399694	Gene
90525	Gene
6469	Gene
51246	Gene
55164	Gene
6477	Gene
6478	Gene
10280	Gene
150094	Gene
25942	Gene
23411	Gene
22933	Gene
23409	Gene
23408	Gene
10572	Gene
6495	Gene
6496	Gene
51804	Gene
6498	Gene
6502	Gene
9481	Gene
291	Gene
292	Gene
293	Gene
55532	Gene
54978	Gene
57181	Gene
30061	Gene
57864	Gene
115584	Gene
160728	Gene
23657	Gene
6548	Gene
9368	Gene
9353	Gene
6586	Gene
9748	Gene
79811	Gene
4088	Gene
4091	Gene
10285	Gene
6608	Gene
6609	Gene
6615	Gene
6591	Gene
6622	Gene
6620	Gene
22938	Gene
58533	Gene
8835	Gene
9021	Gene
6647	Gene
6648	Gene
6651	Gene
6272	Gene
6654	Gene
6655	Gene
6663	Gene
6657	Gene
6659	Gene
83595	Gene
30812	Gene
6662	Gene
6672	Gene
25803	Gene
8877	Gene
56848	Gene
6688	Gene
474343	Gene
8405	Gene
10253	Gene
10558	Gene
8878	Gene
10011	Gene
6714	Gene
5552	Gene
6733	Gene
8406	Gene
6431	Gene
6750	Gene
6753	Gene
9705	Gene
10617	Gene
6770	Gene
6772	Gene
6774	Gene
6777	Gene
55240	Gene
6491	Gene
6794	Gene
9263	Gene
9262	Gene
8428	Gene
10494	Gene
51765	Gene
6788	Gene
6789	Gene
83931	Gene
90529	Gene
55437	Gene
6810	Gene
6812	Gene
51657	Gene
64426	Gene
23213	Gene
6832	Gene
644186	Gene
10388	Gene
6850	Gene
8831	Gene
84447	Gene
6881	Gene
6878	Gene
6880	Gene
51616	Gene
57551	Gene
9344	Gene
23435	Gene
8887	Gene
6899	Gene
6926	Gene
6934	Gene
84260	Gene
56892	Gene
10312	Gene
8115	Gene
6950	Gene
26123	Gene
6997	Gene
7010	Gene
7013	Gene
7015	Gene
56159	Gene
7020	Gene
7021	Gene
83741	Gene
7023	Gene
7027	Gene
7029	Gene
29844	Gene
7040	Gene
7042	Gene
7043	Gene
7046	Gene
7048	Gene
7052	Gene
7057	Gene
117145	Gene
9984	Gene
79228	Gene
7067	Gene
7068	Gene
7072	Gene
9220	Gene
7073	Gene
7074	Gene
26230	Gene
148022	Gene
353376	Gene
57103	Gene
92609	Gene
7076	Gene
7078	Gene
7088	Gene
166	Gene
7097	Gene
7098	Gene
7099	Gene
83941	Gene
64114	Gene
51643	Gene
7009	Gene
147138	Gene
284114	Gene
79073	Gene
84216	Gene
28978	Gene
54929	Gene
54867	Gene
124446	Gene
7110	Gene
388364	Gene
7124	Gene
7126	Gene
7128	Gene
25816	Gene
126282	Gene
79626	Gene
388121	Gene
8797	Gene
8795	Gene
8794	Gene
8793	Gene
4982	Gene
51330	Gene
8784	Gene
55504	Gene
7132	Gene
7133	Gene
27242	Gene
8718	Gene
8771	Gene
943	Gene
3604	Gene
8743	Gene
8742	Gene
8740	Gene
9966	Gene
8995	Gene
8744	Gene
79155	Gene
84951	Gene
56993	Gene
7153	Gene
375337	Gene
10210	Gene
27324	Gene
7157	Gene
63970	Gene
7159	Gene
9540	Gene
94241	Gene
8626	Gene
7161	Gene
7164	Gene
7178	Gene
22974	Gene
8717	Gene
7185	Gene
7186	Gene
7187	Gene
10758	Gene
9618	Gene
7188	Gene
7189	Gene
84231	Gene
10293	Gene
10131	Gene
54209	Gene
51499	Gene
57761	Gene
23321	Gene
8805	Gene
22954	Gene
23087	Gene
56658	Gene
140691	Gene
7204	Gene
7442	Gene
7249	Gene
1831	Gene
85480	Gene
706	Gene
7291	Gene
117581	Gene
51060	Gene
81567	Gene
10628	Gene
7301	Gene
7305	Gene
55075	Gene
7311	Gene
7314	Gene
7316	Gene
10537	Gene
7320	Gene
7323	Gene
3093	Gene
9040	Gene
63893	Gene
7336	Gene
65264	Gene
10277	Gene
29979	Gene
7349	Gene
23376	Gene
51569	Gene
89766	Gene
10497	Gene
90249	Gene
219699	Gene
8633	Gene
137970	Gene
7374	Gene
8725	Gene
401447	Gene
100287144	Gene
100287178	Gene
100287205	Gene
100287238	Gene
100288520	Gene
100287327	Gene
100287364	Gene
100287404	Gene
377630	Gene
100287441	Gene
100287478	Gene
100287513	Gene
728369	Gene
645836	Gene
392188	Gene
645402	Gene
728386	Gene
392197	Gene
389856	Gene
57646	Gene
84132	Gene
55031	Gene
54532	Gene
51118	Gene
8409	Gene
7409	Gene
7410	Gene
10451	Gene
7415	Gene
7416	Gene
7417	Gene
7421	Gene
7422	Gene
7428	Gene
7429	Gene
7432	Gene
8876	Gene
55737	Gene
128434	Gene
79679	Gene
57539	Gene
84942	Gene
116143	Gene
7466	Gene
65267	Gene
7471	Gene
7480	Gene
7481	Gene
89780	Gene
54361	Gene
7474	Gene
7476	Gene
7483	Gene
7486	Gene
7490	Gene
51741	Gene
54739	Gene
7494	Gene
7498	Gene
331	Gene
114786	Gene
389610	Gene
286046	Gene
343702	Gene
55113	Gene
389668	Gene
7507	Gene
7516	Gene
10413	Gene
8531	Gene
10730	Gene
7529	Gene
7531	Gene
7532	Gene
7533	Gene
