SYMBOL	GO.TERM	entrezgene_id
ABCC1	GO:0006954	4363
ABCD1	GO:0006954	215
ABCD2	GO:0006954	225
ABCF1	GO:0006954	23
ABHD12	GO:0006954	26090
ABR	GO:0006954	29
ACE2	GO:0006954	59272
ACER3	GO:0006954	55331
ACKR1	GO:0006954	2532
ACKR2	GO:0006954	1238
ACOD1	GO:0006954	730249
ACP5	GO:0006954	54
ACVR1	GO:0006954	90
ADA	GO:0006954	100
ADAM8	GO:0006954	101
ADAMTS12	GO:0006954	81792
ADCY1	GO:0006954	107
ADCY7	GO:0006954	113
ADCY8	GO:0006954	114
ADCYAP1	GO:0006954	116
ADGRE2	GO:0006954	30817
ADIPOQ	GO:0006954	9370
ADM	GO:0006954	133
ADORA1	GO:0006954	134
ADORA2A	GO:0006954	135
ADORA2B	GO:0006954	136
ADORA3	GO:0006954	140
AFAP1L2	GO:0006954	84632
AGER	GO:0006954	177
AGT	GO:0006954	183
AGTR1	GO:0006954	185
AGTR2	GO:0006954	186
AHCY	GO:0006954	191
AHSG	GO:0006954	197
AIF1	GO:0006954	199
AIM2	GO:0006954	9447
AIMP1	GO:0006954	9255
AKNA	GO:0006954	80709
AKT1	GO:0006954	207
ALOX15	GO:0006954	246
ALOX5	GO:0006954	240
ANO6	GO:0006954	196527
ANXA1	GO:0006954	301
AOC3	GO:0006954	8639
APCS	GO:0006954	325
APOA1	GO:0006954	335
APOA2	GO:0006954	336
APOD	GO:0006954	347
APOE	GO:0006954	348
APOL2	GO:0006954	23780
APOL3	GO:0006954	80833
APP	GO:0006954	351
APPL1	GO:0006954	26060
APPL2	GO:0006954	55198
ASH1L	GO:0006954	55870
ASS1	GO:0006954	445
ATM	GO:0006954	472
ATRN	GO:0006954	8455
AXL	GO:0006954	558
AZU1	GO:0006954	566
B4GALT1	GO:0006954	2683
BACE2	GO:0006954	25825
BAP1	GO:0006954	8314
BCL6	GO:0006954	604
BCR	GO:0006954	613
BDKRB1	GO:0006954	623
BDKRB2	GO:0006954	624
BIRC2	GO:0006954	329
BIRC3	GO:0006954	330
BLNK	GO:0006954	29760
BMP2	GO:0006954	650
BMP6	GO:0006954	654
BMPR1B	GO:0006954	658
BRD4	GO:0006954	23476
BST1	GO:0006954	683
BTK	GO:0006954	695
C1QA	GO:0006954	712
C1QTNF12	GO:0006954	388581
C1QTNF3	GO:0006954	114899
C2CD4A	GO:0006954	145741
C2CD4B	GO:0006954	388125
C3	GO:0006954	718
C3AR1	GO:0006954	719
C4A	GO:0006954	110384692
C4A	GO:0006954	720
C4B	GO:0006954	721
C5	GO:0006954	727
C5AR1	GO:0006954	728
C5AR2	GO:0006954	27202
C5orf30	GO:0006954	90355
CALCRL	GO:0006954	10203
CAMK1D	GO:0006954	57118
